model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation
caformer_s36.sail_in22k_ft_in1k_384,97.97,2.03,99.72,0.28,39.30,384,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,97.95,2.05,99.71,0.29,200.13,256,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,97.94,2.06,99.76,0.24,99.88,224,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,97.92,2.08,99.72,0.28,66.35,600,0.949,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,97.91,2.09,99.66,0.34,304.43,224,0.95,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,97.9,2.1,99.57,0.43,208.12,512,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,97.89,2.11,99.65,0.35,304.20,224,1.0,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,97.87,2.13,99.63,0.37,21.27,512,1.0,bicubic
convnext_base.fb_in22k_ft_in1k,97.86,2.14,99.68,0.32,88.59,288,1.0,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,97.86,2.14,99.67,0.33,329.09,384,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,97.85,2.15,99.64,0.36,40.01,384,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,97.84,2.16,99.68,0.32,86.88,384,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k,97.84,2.16,99.67,0.33,56.20,224,1.0,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,97.84,2.16,99.67,0.33,86.86,384,1.0,bicubic
maxvit_large_tf_512.in1k,97.83,2.17,99.56,0.44,212.33,512,1.0,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,97.82,2.18,99.7,0.3,86.74,384,1.0,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,97.82,2.18,99.6,0.4,54.14,480,1.0,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,97.81,2.19,99.65,0.35,116.14,224,0.95,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,97.8,2.2,99.77,0.23,118.52,480,1.0,bicubic
convnext_small.in12k_ft_in1k_384,97.8,2.2,99.66,0.34,50.22,384,1.0,bicubic
dm_nfnet_f6.dm_in1k,97.78,2.22,99.65,0.35,438.36,576,0.956,bicubic
dm_nfnet_f5.dm_in1k,97.78,2.22,99.6,0.4,377.21,544,0.954,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,97.76,2.24,99.7,0.3,116.09,224,0.95,bicubic
maxvit_small_tf_512.in1k,97.75,2.25,99.55,0.45,69.13,512,1.0,bicubic
maxvit_base_tf_512.in1k,97.73,2.27,99.61,0.39,119.88,512,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,97.72,2.28,99.63,0.37,86.86,384,1.0,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,97.69,2.31,99.68,0.32,86.53,224,0.9,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,97.69,2.31,99.65,0.35,86.58,224,0.9,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,97.65,2.35,99.57,0.43,73.88,224,0.95,bicubic
dm_nfnet_f4.dm_in1k,97.64,2.36,99.54,0.46,316.07,512,0.951,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,97.63,2.37,99.59,0.41,304.33,224,0.9,bicubic
tf_efficientnet_b6.ns_jft_in1k,97.62,2.38,99.58,0.42,43.04,528,0.942,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,97.62,2.38,99.55,0.45,88.59,384,1.0,bicubic
convnext_small.fb_in22k_ft_in1k_384,97.61,2.39,99.6,0.4,50.22,384,1.0,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,97.61,2.39,99.59,0.41,21.23,384,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,97.6,2.4,99.72,0.28,88.59,256,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k,97.6,2.4,99.62,0.38,57.05,224,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k,97.6,2.4,99.61,0.39,39.30,224,1.0,bicubic
maxvit_tiny_tf_512.in1k,97.58,2.42,99.56,0.44,31.05,512,1.0,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,97.57,2.43,99.67,0.33,86.58,224,0.9,bicubic
maxvit_base_tf_384.in1k,97.57,2.43,99.59,0.41,119.65,384,1.0,bicubic
maxvit_large_tf_384.in1k,97.57,2.43,99.53,0.47,212.03,384,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,97.54,2.46,99.66,0.34,86.86,384,1.0,bicubic
convformer_b36.sail_in1k_384,97.53,2.47,99.52,0.48,99.88,384,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,97.53,2.47,99.5,0.5,86.57,224,0.95,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,97.52,2.48,99.6,0.4,73.87,224,0.95,bicubic
tf_efficientnet_b5.ns_jft_in1k,97.5,2.5,99.64,0.36,30.39,456,0.934,bicubic
caformer_b36.sail_in1k_384,97.5,2.5,99.58,0.42,98.75,384,1.0,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,97.48,2.52,99.6,0.4,86.59,224,1.0,bicubic
cait_m48_448.fb_dist_in1k,97.48,2.52,99.55,0.45,356.46,448,1.0,bicubic
dm_nfnet_f3.dm_in1k,97.47,2.53,99.56,0.44,254.92,416,0.94,bicubic
tf_efficientnetv2_l.in1k,97.47,2.53,99.53,0.47,118.52,480,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,97.45,2.55,99.54,0.46,86.57,224,0.95,bicubic
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,97.44,2.56,99.64,0.36,39.03,384,0.95,bicubic
caformer_m36.sail_in1k_384,97.44,2.56,99.6,0.4,56.20,384,1.0,bicubic
maxvit_small_tf_384.in1k,97.43,2.57,99.51,0.49,69.02,384,1.0,bicubic
deit3_large_patch16_384.fb_in1k,97.42,2.58,99.62,0.38,304.76,384,1.0,bicubic
caformer_s18.sail_in22k_ft_in1k_384,97.42,2.58,99.57,0.43,26.34,384,1.0,bicubic
flexivit_large.1200ep_in1k,97.41,2.59,99.6,0.4,304.36,240,0.95,bicubic
efficientnet_b5.sw_in12k_ft_in1k,97.41,2.59,99.55,0.45,30.39,448,1.0,bicubic
convformer_m36.sail_in1k_384,97.41,2.59,99.47,0.53,57.05,384,1.0,bicubic
cait_m36_384.fb_dist_in1k,97.4,2.6,99.51,0.49,271.22,384,1.0,bicubic
caformer_s36.sail_in1k_384,97.39,2.61,99.54,0.46,39.30,384,1.0,bicubic
convnext_small.fb_in22k_ft_in1k,97.36,2.64,99.53,0.47,50.22,288,1.0,bicubic
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,97.36,2.64,99.52,0.48,88.30,384,1.0,bicubic
convnext_small.in12k_ft_in1k,97.35,2.65,99.58,0.42,50.22,288,1.0,bicubic
convnext_tiny.in12k_ft_in1k_384,97.34,2.66,99.6,0.4,28.59,384,1.0,bicubic
cait_s36_384.fb_dist_in1k,97.33,2.67,99.54,0.46,68.37,384,1.0,bicubic
maxvit_tiny_tf_384.in1k,97.31,2.69,99.5,0.5,30.98,384,1.0,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,97.31,2.69,99.48,0.52,88.34,448,1.0,bicubic
flexivit_large.600ep_in1k,97.28,2.72,99.59,0.41,304.36,240,0.95,bicubic
convformer_s36.sail_in1k_384,97.28,2.72,99.43,0.57,40.01,384,1.0,bicubic
convformer_s18.sail_in22k_ft_in1k_384,97.27,2.73,99.55,0.45,26.77,384,1.0,bicubic
inception_next_base.sail_in1k_384,97.26,2.74,99.49,0.51,86.67,384,1.0,bicubic
flexivit_large.300ep_in1k,97.25,2.75,99.49,0.51,304.36,240,0.95,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,97.24,2.76,99.55,0.45,88.59,256,1.0,bicubic
tf_efficientnetv2_m.in1k,97.21,2.79,99.53,0.47,54.14,480,1.0,bicubic
tf_efficientnet_b7.ap_in1k,97.2,2.8,99.54,0.46,66.35,600,0.949,bicubic
regnetz_e8.ra3_in1k,97.2,2.8,99.5,0.5,57.70,320,1.0,bicubic
tf_efficientnet_b8.ra_in1k,97.2,2.8,99.5,0.5,87.41,672,0.954,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,97.2,2.8,99.49,0.51,21.20,224,0.95,bicubic
vit_base_r50_s16_384.orig_in21k_ft_in1k,97.19,2.81,99.56,0.44,98.95,384,1.0,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,97.17,2.83,99.47,0.53,86.53,224,0.9,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,97.15,2.85,99.54,0.46,86.57,224,0.9,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,97.14,2.86,99.47,0.53,22.13,336,1.0,bicubic
deit3_small_patch16_384.fb_in22k_ft_in1k,97.13,2.87,99.51,0.49,22.21,384,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,97.13,2.87,99.46,0.54,86.57,224,1.0,bicubic
tf_efficientnet_b8.ap_in1k,97.11,2.89,99.66,0.34,87.41,672,0.954,bicubic
dm_nfnet_f2.dm_in1k,97.11,2.89,99.51,0.49,193.78,352,0.92,bicubic
vit_base_patch32_clip_384.openai_ft_in12k_in1k,97.11,2.89,99.5,0.5,88.30,384,0.95,bicubic
convnext_large.fb_in1k,97.1,2.9,99.45,0.55,197.77,288,1.0,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,97.08,2.92,99.61,0.39,86.53,224,0.9,bicubic
tf_efficientnet_b6.ap_in1k,97.08,2.92,99.61,0.39,43.04,528,0.942,bicubic
convformer_s36.sail_in22k_ft_in1k,97.08,2.92,99.56,0.44,40.01,224,1.0,bicubic
convnext_tiny.fb_in22k_ft_in1k_384,97.08,2.92,99.51,0.49,28.59,384,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,97.08,2.92,99.49,0.51,86.57,224,0.9,bicubic
caformer_s18.sail_in1k_384,97.08,2.92,99.42,0.58,26.34,384,1.0,bicubic
cait_s24_384.fb_dist_in1k,97.07,2.93,99.43,0.57,47.06,384,1.0,bicubic
convnext_tiny.in12k_ft_in1k,97.06,2.94,99.55,0.45,28.59,288,1.0,bicubic
deit3_base_patch16_384.fb_in1k,97.04,2.96,99.39,0.61,86.88,384,1.0,bicubic
convformer_s18.sail_in1k_384,97.04,2.96,99.38,0.62,26.77,384,1.0,bicubic
dm_nfnet_f1.dm_in1k,97.03,2.97,99.39,0.61,132.63,320,0.91,bicubic
tf_efficientnet_b7.ra_in1k,97.0,3.0,99.52,0.48,66.35,600,0.949,bicubic
efficientnetv2_rw_m.agc_in1k,96.98,3.02,99.53,0.47,53.24,416,1.0,bicubic
caformer_b36.sail_in1k,96.98,3.02,99.34,0.66,98.75,224,1.0,bicubic
deit3_medium_patch16_224.fb_in22k_ft_in1k,96.97,3.03,99.43,0.57,38.85,224,1.0,bicubic
deit_base_distilled_patch16_384.fb_in1k,96.96,3.04,99.48,0.52,87.63,384,1.0,bicubic
maxvit_large_tf_224.in1k,96.96,3.04,99.25,0.75,211.79,224,0.95,bicubic
tf_efficientnet_b4.ns_jft_in1k,96.95,3.05,99.58,0.42,19.34,380,0.922,bicubic
maxvit_base_tf_224.in1k,96.95,3.05,99.26,0.74,119.47,224,0.95,bicubic
deit3_large_patch16_224.fb_in1k,96.94,3.06,99.34,0.66,304.37,224,0.9,bicubic
davit_base.msft_in1k,96.94,3.06,99.26,0.74,87.95,224,0.95,bicubic
mvitv2_large.fb_in1k,96.93,3.07,99.4,0.6,217.99,224,0.9,bicubic
deit3_huge_patch14_224.fb_in1k,96.9,3.1,99.48,0.52,632.13,224,0.9,bicubic
convformer_b36.sail_in1k,96.9,3.1,99.22,0.78,99.88,224,1.0,bicubic
caformer_m36.sail_in1k,96.89,3.11,99.43,0.57,56.20,224,1.0,bicubic
vit_base_patch16_224.augreg_in21k_ft_in1k,96.88,3.12,99.53,0.47,86.57,224,0.9,bicubic
convnext_base.fb_in1k,96.83,3.17,99.41,0.59,88.59,288,1.0,bicubic
maxxvit_rmlp_small_rw_256.sw_in1k,96.8,3.2,99.38,0.62,66.01,256,0.95,bicubic
vit_large_r50_s32_224.augreg_in21k_ft_in1k,96.79,3.21,99.34,0.66,328.99,224,0.9,bicubic
fastvit_ma36.apple_dist_in1k,96.78,3.22,99.33,0.67,44.07,256,0.95,bicubic
mvitv2_base.fb_in1k,96.76,3.24,99.26,0.74,51.47,224,0.9,bicubic
flexivit_base.1200ep_in1k,96.74,3.26,99.36,0.64,86.59,240,0.95,bicubic
edgenext_base.in21k_ft_in1k,96.73,3.27,99.42,0.58,18.51,320,1.0,bicubic
tf_efficientnetv2_s.in21k_ft_in1k,96.73,3.27,99.42,0.58,21.46,384,1.0,bicubic
vit_base_patch16_384.orig_in21k_ft_in1k,96.72,3.28,99.5,0.5,86.86,384,1.0,bicubic
caformer_s18.sail_in22k_ft_in1k,96.71,3.29,99.49,0.51,26.34,224,1.0,bicubic
vit_small_patch16_384.augreg_in21k_ft_in1k,96.7,3.3,99.48,0.52,22.20,384,1.0,bicubic
edgenext_base.usi_in1k,96.7,3.3,99.43,0.57,18.51,320,1.0,bicubic
caformer_s36.sail_in1k,96.69,3.31,99.36,0.64,39.30,224,1.0,bicubic
maxvit_small_tf_224.in1k,96.69,3.31,99.36,0.64,68.93,224,0.95,bicubic
vit_small_r26_s32_384.augreg_in21k_ft_in1k,96.68,3.32,99.58,0.42,36.47,384,1.0,bicubic
tf_efficientnet_b5.ap_in1k,96.68,3.32,99.46,0.54,30.39,456,0.934,bicubic
convformer_m36.sail_in1k,96.68,3.32,99.08,0.92,57.05,224,1.0,bicubic
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,96.67,3.33,99.49,0.51,38.86,256,0.95,bicubic
tf_efficientnet_b6.aa_in1k,96.67,3.33,99.37,0.63,43.04,528,0.942,bicubic
deit3_small_patch16_224.fb_in22k_ft_in1k,96.66,3.34,99.33,0.67,22.06,224,1.0,bicubic
flexivit_base.600ep_in1k,96.65,3.35,99.33,0.67,86.59,240,0.95,bicubic
davit_small.msft_in1k,96.63,3.37,99.35,0.65,49.75,224,0.95,bicubic
convformer_s18.sail_in22k_ft_in1k,96.63,3.37,99.34,0.66,26.77,224,1.0,bicubic
efficientvit_b3.r288_in1k,96.63,3.37,99.22,0.78,48.65,288,1.0,bicubic
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,96.63,3.37,99.16,0.84,41.72,224,0.95,bicubic
regnetz_d8.ra3_in1k,96.62,3.38,99.45,0.55,23.37,320,1.0,bicubic
flexivit_base.300ep_in1k,96.6,3.4,99.27,0.73,86.59,240,0.95,bicubic
regnetz_d32.ra3_in1k,96.59,3.41,99.38,0.62,27.58,320,0.95,bicubic
convformer_s36.sail_in1k,96.58,3.42,99.17,0.83,40.01,224,1.0,bicubic
maxvit_rmlp_small_rw_224.sw_in1k,96.58,3.42,99.12,0.88,64.90,224,0.9,bicubic
regnetz_d8_evos.ch_in1k,96.57,3.43,99.46,0.54,23.46,320,1.0,bicubic
gcvit_base.in1k,96.56,3.44,99.23,0.77,90.32,224,0.875,bicubic
focalnet_base_srf.ms_in1k,96.56,3.44,99.15,0.85,88.15,224,0.9,bicubic
inception_next_base.sail_in1k,96.56,3.44,99.08,0.92,86.67,224,0.95,bicubic
cait_xs24_384.fb_dist_in1k,96.54,3.46,99.42,0.58,26.67,384,1.0,bicubic
efficientnetv2_rw_s.ra2_in1k,96.54,3.46,99.36,0.64,23.94,384,1.0,bicubic
tf_efficientnet_b7.aa_in1k,96.54,3.46,99.3,0.7,66.35,600,0.949,bicubic
coatnet_rmlp_2_rw_224.sw_in1k,96.54,3.46,99.1,0.9,73.88,224,0.95,bicubic
convnext_small.fb_in1k,96.52,3.48,99.34,0.66,50.22,288,1.0,bicubic
vit_base_patch32_384.augreg_in21k_ft_in1k,96.49,3.51,99.41,0.59,88.30,384,1.0,bicubic
fastvit_ma36.apple_in1k,96.47,3.53,99.28,0.72,44.07,256,0.95,bicubic
tf_efficientnet_b5.aa_in1k,96.47,3.53,99.24,0.76,30.39,456,0.934,bicubic
cs3se_edgenet_x.c2ns_in1k,96.45,3.55,99.4,0.6,50.72,320,1.0,bicubic
vit_base_patch16_224_miil.in21k_ft_in1k,96.45,3.55,99.3,0.7,86.54,224,0.875,bilinear
focalnet_base_lrf.ms_in1k,96.45,3.55,99.12,0.88,88.75,224,0.9,bicubic
maxvit_rmlp_tiny_rw_256.sw_in1k,96.42,3.58,99.38,0.62,29.15,256,0.95,bicubic
cait_s24_224.fb_dist_in1k,96.42,3.58,99.15,0.85,46.92,224,1.0,bicubic
tf_efficientnet_b3.ns_jft_in1k,96.39,3.61,99.35,0.65,12.23,300,0.904,bicubic
mvitv2_small.fb_in1k,96.37,3.63,99.2,0.8,34.87,224,0.9,bicubic
xception65.ra3_in1k,96.36,3.64,99.24,0.76,39.92,299,0.94,bicubic
fastvit_sa36.apple_dist_in1k,96.36,3.64,99.23,0.77,31.53,256,0.9,bicubic
pvt_v2_b5.in1k,96.36,3.64,99.17,0.83,81.96,224,0.9,bicubic
pvt_v2_b4.in1k,96.35,3.65,99.18,0.82,62.56,224,0.9,bicubic
tf_efficientnet_b5.ra_in1k,96.34,3.66,99.31,0.69,30.39,456,0.934,bicubic
tf_efficientnetv2_s.in1k,96.34,3.66,99.2,0.8,21.46,384,1.0,bicubic
repvit_m2_3.dist_450e_in1k,96.33,3.67,99.4,0.6,23.69,224,0.95,bicubic
dm_nfnet_f0.dm_in1k,96.31,3.69,99.32,0.68,71.49,256,0.9,bicubic
deit3_base_patch16_224.fb_in1k,96.3,3.7,99.18,0.82,86.59,224,0.9,bicubic
tiny_vit_11m_224.dist_in22k_ft_in1k,96.29,3.71,99.19,0.81,11.00,224,0.95,bicubic
efficientvit_b3.r256_in1k,96.29,3.71,99.12,0.88,48.65,256,1.0,bicubic
gcvit_small.in1k,96.28,3.72,99.14,0.86,51.09,224,0.875,bicubic
inception_next_small.sail_in1k,96.24,3.76,99.22,0.78,49.37,224,0.875,bicubic
fastvit_sa36.apple_in1k,96.24,3.76,99.19,0.81,31.53,256,0.9,bicubic
maxvit_tiny_rw_224.sw_in1k,96.24,3.76,99.13,0.87,29.06,224,0.95,bicubic
tf_efficientnetv2_b3.in21k_ft_in1k,96.22,3.78,99.23,0.77,14.36,300,0.9,bicubic
xception65p.ra3_in1k,96.21,3.79,99.18,0.82,39.82,299,0.94,bicubic
deit3_small_patch16_384.fb_in1k,96.2,3.8,99.29,0.71,22.21,384,1.0,bicubic
gcvit_tiny.in1k,96.18,3.82,99.23,0.77,28.22,224,0.875,bicubic
focalnet_small_lrf.ms_in1k,96.18,3.82,99.19,0.81,50.34,224,0.9,bicubic
mobilevitv2_175.cvnets_in22k_ft_in1k_384,96.18,3.82,99.12,0.88,14.25,384,1.0,bicubic
tf_efficientnet_b4.ap_in1k,96.16,3.84,99.27,0.73,19.34,380,0.922,bicubic
deit_base_patch16_384.fb_in1k,96.16,3.84,99.14,0.86,86.86,384,1.0,bicubic
fastvit_sa24.apple_dist_in1k,96.15,3.85,99.21,0.79,21.55,256,0.9,bicubic
efficientnet_b4.ra2_in1k,96.15,3.85,99.19,0.81,19.34,384,1.0,bicubic
regnetz_c16_evos.ch_in1k,96.14,3.86,99.36,0.64,13.49,320,0.95,bicubic
caformer_s18.sail_in1k,96.14,3.86,99.0,1.0,26.34,224,1.0,bicubic
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,96.13,3.87,99.22,0.78,88.22,224,0.9,bicubic
tiny_vit_21m_224.in1k,96.13,3.87,99.16,0.84,21.20,224,0.95,bicubic
repvit_m2_3.dist_300e_in1k,96.12,3.88,99.34,0.66,23.69,224,0.95,bicubic
nfnet_l0.ra2_in1k,96.12,3.88,99.24,0.76,35.07,288,1.0,bicubic
efficientformer_l7.snap_dist_in1k,96.11,3.89,99.27,0.73,82.23,224,0.95,bicubic
maxvit_tiny_tf_224.in1k,96.1,3.9,99.27,0.73,30.92,224,0.95,bicubic
deit_base_distilled_patch16_224.fb_in1k,96.09,3.91,99.19,0.81,87.34,224,0.9,bicubic
deit3_medium_patch16_224.fb_in1k,96.08,3.92,99.2,0.8,38.85,224,0.9,bicubic
tf_efficientnet_b5.in1k,96.07,3.93,99.29,0.71,30.39,456,0.934,bicubic
efficientformerv2_l.snap_dist_in1k,96.07,3.93,99.19,0.81,26.32,224,0.95,bicubic
focalnet_small_srf.ms_in1k,96.07,3.93,99.12,0.88,49.89,224,0.9,bicubic
mobilevitv2_200.cvnets_in22k_ft_in1k_384,96.06,3.94,99.08,0.92,18.45,384,1.0,bicubic
cs3edgenet_x.c2_in1k,96.05,3.95,99.14,0.86,47.82,288,1.0,bicubic
maxxvit_rmlp_nano_rw_256.sw_in1k,96.04,3.96,99.26,0.74,16.78,256,0.95,bicubic
