model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,88.18,11.82,98.572,1.428,304.53,336,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,88.174,11.826,98.546,1.454,304.20,224,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,88.058,11.942,98.582,1.418,98.75,384,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,87.986,12.014,98.568,1.432,212.03,384,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,87.958,12.042,98.476,1.524,200.13,320,1.0,bicubic
eva_large_patch14_196.in22k_ft_in1k,87.932,12.068,98.498,1.502,304.14,196,1.0,bicubic
maxvit_base_tf_384.in21k_ft_in1k,87.922,12.078,98.544,1.456,119.65,384,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,87.894,12.106,98.408,1.592,304.20,224,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,87.856,12.144,98.368,1.632,304.53,336,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,87.854,12.146,98.426,1.574,304.20,224,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,87.848,12.152,98.446,1.554,200.13,384,1.0,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,87.828,12.172,98.372,1.628,116.14,384,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,87.752,12.248,98.556,1.444,350.20,384,1.0,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,87.72,12.28,98.512,1.488,304.76,384,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,87.602,12.398,98.434,1.566,99.88,384,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,87.588,12.412,98.218,1.782,632.05,224,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,12.522,98.304,1.696,304.43,224,0.9,bicubic
convnext_large.fb_in22k_ft_in1k_384,87.472,12.528,98.386,1.614,197.77,384,1.0,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,87.464,12.536,98.374,1.626,116.09,384,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k_384,87.446,12.554,98.308,1.692,56.20,384,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k,87.42,12.58,98.328,1.672,98.75,224,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,87.412,12.588,98.234,1.766,304.43,224,0.95,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,87.382,12.618,98.312,1.688,73.88,384,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,87.336,12.664,98.218,1.782,200.13,256,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,87.33,12.67,98.328,1.672,350.20,288,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,87.286,12.714,98.244,1.756,304.20,224,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,87.206,12.794,98.034,1.966,86.86,384,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,87.186,12.814,98.26,1.74,632.13,224,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,87.134,12.866,98.222,1.778,88.59,384,1.0,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,87.084,12.916,98.302,1.698,304.72,384,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,87.026,12.974,98.204,1.796,197.77,288,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,87.026,12.974,98.182,1.818,86.86,384,0.95,bicubic
convformer_b36.sail_in22k_ft_in1k,86.998,13.002,98.172,1.828,99.88,224,1.0,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,86.982,13.018,98.236,1.764,304.37,224,1.0,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,86.894,13.106,98.014,1.986,116.14,224,0.95,bicubic
convformer_m36.sail_in22k_ft_in1k_384,86.892,13.108,98.116,1.884,57.05,384,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k_384,86.858,13.142,98.212,1.788,39.30,384,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,86.84,13.16,98.092,1.908,66.35,600,0.949,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,86.802,13.198,98.136,1.864,118.52,480,1.0,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,86.8,13.2,98.136,1.864,86.74,384,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,86.796,13.204,98.264,1.736,88.59,384,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,86.748,13.252,98.014,1.986,208.12,512,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,86.74,13.26,98.116,1.884,86.88,384,1.0,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,86.642,13.358,98.02,1.98,116.09,224,0.95,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,86.618,13.382,98.008,1.992,86.86,384,1.0,bicubic
maxvit_base_tf_512.in1k,86.602,13.398,97.918,2.082,119.88,512,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k,86.594,13.406,98.024,1.976,56.20,224,1.0,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,86.564,13.436,97.896,2.104,73.87,224,0.95,bicubic
maxvit_large_tf_512.in1k,86.526,13.474,97.88,2.12,212.33,512,1.0,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,86.504,13.496,97.894,2.106,73.88,224,0.95,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,86.502,13.498,97.968,2.032,88.59,384,1.0,bicubic
cait_m48_448.fb_dist_in1k,86.492,13.508,97.752,2.248,356.46,448,1.0,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.474,13.526,98.052,1.948,86.53,224,0.9,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,86.458,13.542,97.89,2.11,21.27,512,1.0,bicubic
tf_efficientnet_b6.ns_jft_in1k,86.458,13.542,97.884,2.116,43.04,528,0.942,bicubic
caformer_b36.sail_in1k_384,86.408,13.592,97.814,2.186,98.75,384,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,86.378,13.622,97.984,2.016,40.01,384,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,86.37,13.63,97.984,2.016,88.59,256,1.0,bicubic
dm_nfnet_f6.dm_in1k,86.362,13.638,97.896,2.104,438.36,576,0.956,bicubic
maxvit_base_tf_384.in1k,86.302,13.698,97.798,2.202,119.65,384,1.0,bicubic
convnext_base.fb_in22k_ft_in1k,86.274,13.726,98.092,1.908,88.59,288,1.0,bicubic
maxvit_large_tf_384.in1k,86.23,13.77,97.688,2.312,212.03,384,1.0,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,86.218,13.782,97.832,2.168,86.58,224,0.9,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,86.206,13.794,97.876,2.124,86.86,384,1.0,bicubic
convnext_small.in12k_ft_in1k_384,86.182,13.818,97.922,2.078,50.22,384,1.0,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,86.182,13.818,97.922,2.078,329.09,384,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,86.17,13.83,97.756,2.244,86.57,224,0.95,bicubic
caformer_m36.sail_in1k_384,86.166,13.834,97.82,2.18,56.20,384,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,86.158,13.842,97.68,2.32,88.59,256,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k,86.148,13.852,97.85,2.15,57.05,224,1.0,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,86.108,13.892,97.71,2.29,21.23,384,1.0,bicubic
dm_nfnet_f5.dm_in1k,86.1,13.9,97.688,2.312,377.21,544,0.954,bicubic
tf_efficientnet_b5.ns_jft_in1k,86.088,13.912,97.756,2.244,30.39,456,0.934,bicubic
maxvit_small_tf_512.in1k,86.084,13.916,97.764,2.236,69.13,512,1.0,bicubic
cait_m36_384.fb_dist_in1k,86.058,13.942,97.73,2.27,271.22,384,1.0,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,85.994,14.006,98.002,1.998,86.86,384,1.0,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,85.992,14.008,97.944,2.056,54.14,480,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,85.942,14.058,97.728,2.272,86.57,224,0.95,bicubic
efficientnet_b5.sw_in12k_ft_in1k,85.896,14.104,97.736,2.264,30.39,448,1.0,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,85.836,14.164,97.818,2.182,304.33,224,0.9,bicubic
dm_nfnet_f4.dm_in1k,85.836,14.164,97.664,2.336,316.07,512,0.951,bicubic
deit3_large_patch16_384.fb_in1k,85.812,14.188,97.598,2.402,304.76,384,1.0,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,85.798,14.202,97.79,2.21,86.58,224,0.9,bicubic
caformer_s36.sail_in22k_ft_in1k,85.79,14.21,97.826,2.174,39.30,224,1.0,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,85.78,14.22,97.638,2.362,88.34,448,1.0,bicubic
convnext_small.fb_in22k_ft_in1k_384,85.778,14.222,97.89,2.11,50.22,384,1.0,bicubic
caformer_s36.sail_in1k_384,85.742,14.258,97.672,2.328,39.30,384,1.0,bicubic
convformer_b36.sail_in1k_384,85.74,14.26,97.524,2.476,99.88,384,1.0,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,85.718,14.282,97.634,2.366,22.13,336,1.0,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,85.7,14.3,97.746,2.254,86.59,224,1.0,bicubic
dm_nfnet_f3.dm_in1k,85.686,14.314,97.57,2.43,254.92,416,0.94,bicubic
maxvit_tiny_tf_512.in1k,85.664,14.336,97.584,2.416,31.05,512,1.0,bicubic
tf_efficientnetv2_l.in1k,85.664,14.336,97.474,2.526,118.52,480,1.0,bicubic
flexivit_large.1200ep_in1k,85.644,14.356,97.54,2.46,304.36,240,0.95,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,85.594,14.406,97.506,2.494,86.53,224,0.9,bicubic
convformer_m36.sail_in1k_384,85.58,14.42,97.542,2.458,57.05,384,1.0,bicubic
flexivit_large.600ep_in1k,85.54,14.46,97.488,2.512,304.36,240,0.95,bicubic
maxvit_small_tf_384.in1k,85.54,14.46,97.462,2.538,69.02,384,1.0,bicubic
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,85.53,14.47,97.636,2.364,39.03,384,0.95,bicubic
caformer_b36.sail_in1k,85.504,14.496,97.31,2.69,98.75,224,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,85.47,14.53,97.576,2.424,86.57,224,1.0,bicubic
cait_s36_384.fb_dist_in1k,85.454,14.546,97.478,2.522,68.37,384,1.0,bicubic
deit_base_distilled_patch16_384.fb_in1k,85.424,14.576,97.33,2.67,87.63,384,1.0,bicubic
caformer_s18.sail_in22k_ft_in1k_384,85.414,14.586,97.702,2.298,26.34,384,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k,85.414,14.586,97.568,2.432,40.01,224,1.0,bicubic
convformer_s36.sail_in1k_384,85.378,14.622,97.476,2.524,40.01,384,1.0,bicubic
tf_efficientnet_b8.ra_in1k,85.368,14.632,97.394,2.606,87.41,672,0.954,bicubic
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,85.366,14.634,97.66,2.34,88.30,384,1.0,bicubic
tf_efficientnet_b8.ap_in1k,85.364,14.636,97.292,2.708,87.41,672,0.954,bicubic
convnext_small.in12k_ft_in1k,85.33,14.67,97.546,2.454,50.22,288,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,85.292,14.708,97.436,2.564,86.57,224,0.9,bicubic
flexivit_large.300ep_in1k,85.288,14.712,97.4,2.6,304.36,240,0.95,bicubic
convnext_small.fb_in22k_ft_in1k,85.262,14.738,97.682,2.318,50.22,288,1.0,bicubic
mvitv2_large.fb_in1k,85.244,14.756,97.194,2.806,217.99,224,0.9,bicubic
caformer_m36.sail_in1k,85.232,14.768,97.2,2.8,56.20,224,1.0,bicubic
deit3_huge_patch14_224.fb_in1k,85.224,14.776,97.36,2.64,632.13,224,0.9,bicubic
vit_base_patch32_clip_384.openai_ft_in12k_in1k,85.214,14.786,97.404,2.596,88.30,384,0.95,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,85.212,14.788,97.658,2.342,86.53,224,0.9,bicubic
tf_efficientnetv2_m.in1k,85.204,14.796,97.364,2.636,54.14,480,1.0,bicubic
inception_next_base.sail_in1k_384,85.202,14.798,97.414,2.586,86.67,384,1.0,bicubic
dm_nfnet_f2.dm_in1k,85.192,14.808,97.346,2.654,193.78,352,0.92,bicubic
tf_efficientnet_b4.ns_jft_in1k,85.16,14.84,97.468,2.532,19.34,380,0.922,bicubic
tf_efficientnet_b7.ap_in1k,85.124,14.876,97.252,2.748,66.35,600,0.949,bicubic
convnext_tiny.in12k_ft_in1k_384,85.122,14.878,97.606,2.394,28.59,384,1.0,bicubic
maxvit_tiny_tf_384.in1k,85.1,14.9,97.378,2.622,30.98,384,1.0,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,85.094,14.906,97.53,2.47,86.57,224,0.9,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,85.086,14.914,97.366,2.634,21.20,224,0.95,bicubic
deit3_base_patch16_384.fb_in1k,85.074,14.926,97.25,2.75,86.88,384,1.0,bicubic
cait_s24_384.fb_dist_in1k,85.048,14.952,97.346,2.654,47.06,384,1.0,bicubic
regnetz_e8.ra3_in1k,85.034,14.966,97.272,2.728,57.70,320,1.0,bicubic
caformer_s18.sail_in1k_384,85.026,14.974,97.358,2.642,26.34,384,1.0,bicubic
convformer_s18.sail_in22k_ft_in1k_384,84.998,15.002,97.57,2.43,26.77,384,1.0,bicubic
vit_base_r50_s16_384.orig_in21k_ft_in1k,84.976,15.024,97.29,2.71,98.95,384,1.0,bicubic
maxvit_large_tf_224.in1k,84.942,15.058,96.97,3.03,211.79,224,0.95,bicubic
tf_efficientnet_b7.ra_in1k,84.932,15.068,97.208,2.792,66.35,600,0.949,bicubic
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,84.91,15.09,96.958,3.042,41.72,224,0.95,bicubic
maxvit_base_tf_224.in1k,84.86,15.14,96.988,3.012,119.47,224,0.95,bicubic
convnext_large.fb_in1k,84.846,15.154,97.214,2.786,197.77,288,1.0,bicubic
deit3_small_patch16_384.fb_in22k_ft_in1k,84.824,15.176,97.486,2.514,22.21,384,1.0,bicubic
convformer_b36.sail_in1k,84.818,15.182,96.946,3.054,99.88,224,1.0,bicubic
efficientnetv2_rw_m.agc_in1k,84.81,15.19,97.152,2.848,53.24,416,1.0,bicubic
tf_efficientnet_b6.ap_in1k,84.788,15.212,97.138,2.862,43.04,528,0.942,bicubic
deit3_large_patch16_224.fb_in1k,84.774,15.226,97.036,2.964,304.37,224,0.9,bicubic
dm_nfnet_f1.dm_in1k,84.702,15.298,97.182,2.818,132.63,320,0.91,bicubic
flexivit_base.1200ep_in1k,84.676,15.324,96.994,3.006,86.59,240,0.95,bicubic
davit_base.msft_in1k,84.642,15.358,97.02,2.98,87.95,224,0.95,bicubic
maxxvit_rmlp_small_rw_256.sw_in1k,84.624,15.376,97.068,2.932,66.01,256,0.95,bicubic
coatnet_rmlp_2_rw_224.sw_in1k,84.608,15.392,96.74,3.26,73.88,224,0.95,bicubic
fastvit_ma36.apple_dist_in1k,84.598,15.402,97.002,2.998,44.07,256,0.95,bicubic
deit3_medium_patch16_224.fb_in22k_ft_in1k,84.55,15.45,97.188,2.812,38.85,224,1.0,bicubic
vit_base_patch16_224.augreg_in21k_ft_in1k,84.532,15.468,97.294,2.706,86.57,224,0.9,bicubic
flexivit_base.600ep_in1k,84.524,15.476,96.936,3.064,86.59,240,0.95,bicubic
caformer_s36.sail_in1k,84.506,15.494,96.996,3.004,39.30,224,1.0,bicubic
convformer_m36.sail_in1k,84.494,15.506,96.866,3.134,57.05,224,1.0,bicubic
maxvit_rmlp_small_rw_224.sw_in1k,84.492,15.508,96.758,3.242,64.90,224,0.9,bicubic
convnext_tiny.in12k_ft_in1k,84.45,15.55,97.34,2.66,28.59,288,1.0,bicubic
mvitv2_base.fb_in1k,84.45,15.55,96.858,3.142,51.47,224,0.9,bicubic
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,84.446,15.554,97.21,2.79,38.86,256,0.95,bicubic
gcvit_base.in1k,84.444,15.556,96.842,3.158,90.32,224,0.875,bicubic
convnext_base.fb_in1k,84.428,15.572,96.968,3.032,88.59,288,1.0,bicubic
maxvit_small_tf_224.in1k,84.426,15.574,96.824,3.176,68.93,224,0.95,bicubic
vit_large_r50_s32_224.augreg_in21k_ft_in1k,84.418,15.582,97.172,2.828,328.99,224,0.9,bicubic
tf_efficientnet_b7.aa_in1k,84.416,15.584,96.908,3.092,66.35,600,0.949,bicubic
flexivit_base.300ep_in1k,84.406,15.594,96.884,3.116,86.59,240,0.95,bicubic
convformer_s18.sail_in1k_384,84.402,15.598,97.112,2.888,26.77,384,1.0,bicubic
tf_efficientnetv2_s.in21k_ft_in1k,84.286,15.714,97.252,2.748,21.46,384,1.0,bicubic
vit_base_patch16_224_miil.in21k_ft_in1k,84.266,15.734,96.804,3.196,86.54,224,0.875,bilinear
tf_efficientnet_b5.ap_in1k,84.258,15.742,96.974,3.026,30.39,456,0.934,bicubic
davit_small.msft_in1k,84.252,15.748,96.94,3.06,49.75,224,0.95,bicubic
maxvit_rmlp_tiny_rw_256.sw_in1k,84.224,15.776,96.778,3.222,29.15,256,0.95,bicubic
vit_base_patch16_384.orig_in21k_ft_in1k,84.2,15.8,97.218,2.782,86.86,384,1.0,bicubic
efficientvit_b3.r288_in1k,84.154,15.846,96.736,3.264,48.65,288,1.0,bicubic
regnetz_d8_evos.ch_in1k,84.126,15.874,97.012,2.988,23.46,320,1.0,bicubic
tf_efficientnet_b6.aa_in1k,84.112,15.888,96.884,3.116,43.04,528,0.942,bicubic
inception_next_base.sail_in1k,84.092,15.908,96.796,3.204,86.67,224,0.95,bicubic
convnext_tiny.fb_in22k_ft_in1k_384,84.088,15.912,97.144,2.856,28.59,384,1.0,bicubic
caformer_s18.sail_in22k_ft_in1k,84.074,15.926,97.198,2.802,26.34,224,1.0,bicubic
cait_xs24_384.fb_dist_in1k,84.062,15.938,96.884,3.116,26.67,384,1.0,bicubic
convformer_s36.sail_in1k,84.06,15.94,96.746,3.254,40.01,224,1.0,bicubic
edgenext_base.in21k_ft_in1k,84.054,15.946,97.196,2.804,18.51,320,1.0,bicubic
regnetz_d8.ra3_in1k,84.052,15.948,96.996,3.004,23.37,320,1.0,bicubic
tf_efficientnet_b3.ns_jft_in1k,84.052,15.948,96.918,3.082,12.23,300,0.904,bicubic
vit_small_r26_s32_384.augreg_in21k_ft_in1k,84.048,15.952,97.328,2.672,36.47,384,1.0,bicubic
fastvit_sa36.apple_dist_in1k,84.026,15.974,96.854,3.146,31.53,256,0.9,bicubic
regnetz_d32.ra3_in1k,84.022,15.978,96.868,3.132,27.58,320,0.95,bicubic
edgenext_base.usi_in1k,83.958,16.042,96.77,3.23,18.51,320,1.0,bicubic
tf_efficientnetv2_s.in1k,83.898,16.102,96.696,3.304,21.46,384,1.0,bicubic
gcvit_small.in1k,83.892,16.108,96.658,3.342,51.09,224,0.875,bicubic
fastvit_ma36.apple_in1k,83.882,16.118,96.742,3.258,44.07,256,0.95,bicubic
focalnet_base_lrf.ms_in1k,83.838,16.162,96.608,3.392,88.75,224,0.9,bicubic
focalnet_base_srf.ms_in1k,83.82,16.18,96.68,3.32,88.15,224,0.9,bicubic
tf_efficientnet_b5.ra_in1k,83.814,16.186,96.752,3.248,30.39,456,0.934,bicubic
efficientnetv2_rw_s.ra2_in1k,83.806,16.194,96.732,3.268,23.94,384,1.0,bicubic
vit_small_patch16_384.augreg_in21k_ft_in1k,83.804,16.196,97.1,2.9,22.20,384,1.0,bicubic
efficientvit_b3.r256_in1k,83.802,16.198,96.516,3.484,48.65,256,1.0,bicubic
deit3_base_patch16_224.fb_in1k,83.786,16.214,96.586,3.414,86.59,224,0.9,bicubic
mvitv2_small.fb_in1k,83.77,16.23,96.576,3.424,34.87,224,0.9,bicubic
repvit_m2_3.dist_450e_in1k,83.742,16.258,96.644,3.356,23.69,224,0.95,bicubic
pvt_v2_b5.in1k,83.74,16.26,96.636,3.364,81.96,224,0.9,bicubic
convformer_s18.sail_in22k_ft_in1k,83.738,16.262,97.048,2.952,26.77,224,1.0,bicubic
pvt_v2_b4.in1k,83.712,16.288,96.67,3.33,62.56,224,0.9,bicubic
convnext_small.fb_in1k,83.7,16.3,96.808,3.192,50.22,288,1.0,bicubic
tf_efficientnet_b5.aa_in1k,83.688,16.312,96.712,3.288,30.39,456,0.934,bicubic
caformer_s18.sail_in1k,83.654,16.346,96.518,3.482,26.34,224,1.0,bicubic
efficientformerv2_l.snap_dist_in1k,83.632,16.368,96.558,3.442,26.32,224,0.95,bicubic
coatnet_1_rw_224.sw_in1k,83.596,16.404,96.382,3.618,41.72,224,0.95,bicubic
inception_next_small.sail_in1k,83.578,16.422,96.598,3.402,49.37,224,0.875,bicubic
cs3se_edgenet_x.c2ns_in1k,83.546,16.454,96.67,3.33,50.72,320,1.0,bicubic
repvit_m2_3.dist_300e_in1k,83.504,16.496,96.514,3.486,23.69,224,0.95,bicubic
maxvit_tiny_rw_224.sw_in1k,83.504,16.496,96.504,3.496,29.06,224,0.95,bicubic
fastvit_sa36.apple_in1k,83.5,16.5,96.63,3.37,31.53,256,0.9,bicubic
focalnet_small_lrf.ms_in1k,83.494,16.506,96.58,3.42,50.34,224,0.9,bicubic
dm_nfnet_f0.dm_in1k,83.486,16.514,96.568,3.432,71.49,256,0.9,bicubic
efficientvit_b3.r224_in1k,83.46,16.54,96.33,3.67,48.65,224,0.95,bicubic
cait_s24_224.fb_dist_in1k,83.442,16.558,96.574,3.426,46.92,224,1.0,bicubic
deit3_small_patch16_384.fb_in1k,83.428,16.572,96.674,3.326,22.21,384,1.0,bicubic
focalnet_small_srf.ms_in1k,83.416,16.584,96.438,3.562,49.89,224,0.9,bicubic
efficientnet_b4.ra2_in1k,83.414,16.586,96.598,3.402,19.34,384,1.0,bicubic
maxvit_tiny_tf_224.in1k,83.402,16.598,96.59,3.41,30.92,224,0.95,bicubic
mobilevitv2_200.cvnets_in22k_ft_in1k_384,83.4,16.6,96.582,3.418,18.45,384,1.0,bicubic
deit_base_distilled_patch16_224.fb_in1k,83.39,16.61,96.488,3.512,87.34,224,0.9,bicubic
gcvit_tiny.in1k,83.384,16.616,96.398,3.602,28.22,224,0.875,bicubic
efficientformer_l7.snap_dist_in1k,83.382,16.618,96.536,3.464,82.23,224,0.95,bicubic
coatnet_rmlp_1_rw_224.sw_in1k,83.362,16.638,96.45,3.55,41.69,224,0.95,bicubic
vit_base_patch32_384.augreg_in21k_ft_in1k,83.352,16.648,96.84,3.16,88.30,384,1.0,bicubic
fastvit_sa24.apple_dist_in1k,83.342,16.658,96.552,3.448,21.55,256,0.9,bicubic
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,83.296,16.704,96.528,3.472,88.22,224,0.9,bicubic
tiny_vit_21m_224.in1k,83.254,16.746,96.592,3.408,21.20,224,0.95,bicubic
tf_efficientnet_b4.ap_in1k,83.25,16.75,96.396,3.604,19.34,380,0.922,bicubic
tiny_vit_11m_224.dist_in22k_ft_in1k,83.228,16.772,96.63,3.37,11.00,224,0.95,bicubic
xception65.ra3_in1k,83.18,16.82,96.592,3.408,39.92,299,0.94,bicubic
tf_efficientnet_b5.in1k,83.176,16.824,96.536,3.464,30.39,456,0.934,bicubic
xception65p.ra3_in1k,83.126,16.874,96.482,3.518,39.82,299,0.94,bicubic
pvt_v2_b3.in1k,83.118,16.882,96.556,3.444,45.24,224,0.9,bicubic
maxxvitv2_nano_rw_256.sw_in1k,83.11,16.89,96.324,3.676,23.70,256,0.95,bicubic
deit_base_patch16_384.fb_in1k,83.104,16.896,96.368,3.632,86.86,384,1.0,bicubic
efficientvit_b2.r288_in1k,83.1,16.9,96.304,3.696,24.33,288,1.0,bicubic
deit3_medium_patch16_224.fb_in1k,83.086,16.914,96.294,3.706,38.85,224,0.9,bicubic
deit3_small_patch16_224.fb_in22k_ft_in1k,83.076,16.924,96.776,3.224,22.06,224,1.0,bicubic
