model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation
convnext_xlarge.fb_in22k_ft_in1k_384,97.59,2.41,99.77,0.23,350.20,384,1.0,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,97.58,2.42,99.71,0.29,304.76,384,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,97.57,2.43,99.71,0.29,"1,012.56",224,0.9,bicubic
maxvit_base_tf_384.in21k_ft_in1k,97.56,2.44,99.76,0.24,119.65,384,1.0,bicubic
eva_large_patch14_196.in22k_ft_in1k,97.52,2.48,99.79,0.21,304.14,196,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,97.49,2.51,99.76,0.24,99.88,384,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,97.48,2.52,99.69,0.31,304.43,224,0.9,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,97.47,2.53,99.76,0.24,200.13,384,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,97.46,2.54,99.78,0.22,304.53,336,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,97.45,2.55,99.82,0.18,350.20,288,1.0,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,97.45,2.55,99.76,0.24,116.09,384,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,97.44,2.56,99.68,0.32,304.20,224,1.0,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,97.41,2.59,99.78,0.22,304.72,384,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,97.39,2.61,99.74,0.26,304.20,224,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,97.39,2.61,99.73,0.27,200.13,384,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k_384,97.37,2.63,99.79,0.21,56.20,384,1.0,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,97.37,2.63,99.7,0.3,73.88,384,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,97.37,2.63,99.68,0.32,57.05,384,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k,97.36,2.64,99.83,0.17,98.75,224,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,97.36,2.64,99.8,0.2,632.05,224,1.0,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,97.34,2.66,99.69,0.31,116.14,384,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,97.33,2.67,99.6,0.4,208.12,512,1.0,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,97.32,2.68,99.72,0.28,86.74,384,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,97.32,2.68,99.64,0.36,118.52,480,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,97.31,2.69,99.74,0.26,304.43,224,0.95,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,97.31,2.69,99.68,0.32,304.37,224,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,97.3,2.7,99.76,0.24,197.77,384,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k_384,97.29,2.71,99.72,0.28,39.30,384,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,97.26,2.74,99.75,0.25,99.88,224,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,97.26,2.74,99.74,0.26,200.13,320,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,97.26,2.74,99.71,0.29,88.59,384,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,97.25,2.75,99.72,0.28,632.13,224,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,97.24,2.76,99.67,0.33,86.88,384,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,97.23,2.77,99.72,0.28,304.53,336,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,97.22,2.78,99.73,0.27,197.77,288,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,97.22,2.78,99.7,0.3,86.86,384,1.0,bicubic
convnext_base.fb_in22k_ft_in1k,97.2,2.8,99.76,0.24,88.59,288,1.0,bicubic
maxvit_small_tf_512.in1k,97.2,2.8,99.62,0.38,69.13,512,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,97.19,2.81,99.7,0.3,66.35,600,0.949,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,97.18,2.82,99.65,0.35,73.88,224,0.95,bicubic
maxvit_base_tf_512.in1k,97.17,2.83,99.64,0.36,119.88,512,1.0,bicubic
caformer_b36.sail_in1k_384,97.16,2.84,99.61,0.39,98.75,384,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,97.13,2.87,99.72,0.28,200.13,256,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,97.12,2.88,99.64,0.36,86.86,384,0.95,bicubic
maxvit_base_tf_384.in1k,97.12,2.88,99.57,0.43,119.65,384,1.0,bicubic
convnext_small.fb_in22k_ft_in1k_384,97.11,2.89,99.64,0.36,50.22,384,1.0,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,97.11,2.89,99.6,0.4,116.14,224,0.95,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,97.1,2.9,99.69,0.31,632.05,224,1.0,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,97.09,2.91,99.68,0.32,116.09,224,0.95,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,97.09,2.91,99.61,0.39,86.58,224,0.9,bicubic
convformer_m36.sail_in22k_ft_in1k,97.07,2.93,99.63,0.37,57.05,224,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,97.06,2.94,99.71,0.29,40.01,384,1.0,bicubic
maxvit_large_tf_512.in1k,97.05,2.95,99.59,0.41,212.33,512,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,97.04,2.96,99.67,0.33,88.59,384,1.0,bicubic
caformer_m36.sail_in1k_384,97.03,2.97,99.71,0.29,56.20,384,1.0,bicubic
dm_nfnet_f5.dm_in1k,97.03,2.97,99.67,0.33,377.21,544,0.954,bicubic
caformer_m36.sail_in22k_ft_in1k,97.02,2.98,99.73,0.27,56.20,224,1.0,bicubic
tf_efficientnet_b6.ns_jft_in1k,97.02,2.98,99.71,0.29,43.04,528,0.942,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,97.02,2.98,99.71,0.29,86.86,384,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,97.02,2.98,99.67,0.33,304.20,224,1.0,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,97.0,3.0,99.63,0.37,54.14,480,1.0,bicubic
convnext_small.in12k_ft_in1k_384,96.99,3.01,99.66,0.34,50.22,384,1.0,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,96.99,3.01,99.65,0.35,73.87,224,0.95,bicubic
dm_nfnet_f6.dm_in1k,96.97,3.03,99.76,0.24,438.36,576,0.956,bicubic
maxvit_tiny_tf_512.in1k,96.97,3.03,99.67,0.33,31.05,512,1.0,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,96.95,3.05,99.71,0.29,329.09,384,1.0,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,96.95,3.05,99.64,0.36,86.58,224,0.9,bicubic
dm_nfnet_f4.dm_in1k,96.95,3.05,99.63,0.37,316.07,512,0.951,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,96.95,3.05,99.61,0.39,21.23,384,1.0,bicubic
maxvit_large_tf_384.in1k,96.93,3.07,99.57,0.43,212.03,384,1.0,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,96.91,3.09,99.73,0.27,86.53,224,0.9,bicubic
tiny_vit_21m_512.dist_in22k_ft_in1k,96.9,3.1,99.69,0.31,21.27,512,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,96.9,3.1,99.67,0.33,86.86,384,1.0,bicubic
caformer_s36.sail_in1k_384,96.88,3.12,99.67,0.33,39.30,384,1.0,bicubic
cait_m48_448.fb_dist_in1k,96.88,3.12,99.62,0.38,356.46,448,1.0,bicubic
convformer_b36.sail_in1k_384,96.87,3.13,99.65,0.35,99.88,384,1.0,bicubic
tf_efficientnet_b5.ns_jft_in1k,96.87,3.13,99.64,0.36,30.39,456,0.934,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,96.86,3.14,99.69,0.31,88.59,384,1.0,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,96.86,3.14,99.62,0.38,86.59,224,1.0,bicubic
deit3_large_patch16_384.fb_in1k,96.85,3.15,99.62,0.38,304.76,384,1.0,bicubic
cait_m36_384.fb_dist_in1k,96.84,3.16,99.66,0.34,271.22,384,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k,96.82,3.18,99.62,0.38,39.30,224,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,96.81,3.19,99.66,0.34,86.86,384,1.0,bicubic
convnext_small.fb_in22k_ft_in1k,96.81,3.19,99.51,0.49,50.22,288,1.0,bicubic
convformer_s18.sail_in22k_ft_in1k_384,96.79,3.21,99.71,0.29,26.77,384,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,96.79,3.21,99.68,0.32,88.59,256,1.0,bicubic
convformer_m36.sail_in1k_384,96.78,3.22,99.62,0.38,57.05,384,1.0,bicubic
flexivit_large.1200ep_in1k,96.78,3.22,99.61,0.39,304.36,240,0.95,bicubic
efficientnet_b5.sw_in12k_ft_in1k,96.77,3.23,99.6,0.4,30.39,448,1.0,bicubic
maxvit_small_tf_384.in1k,96.75,3.25,99.6,0.4,69.02,384,1.0,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,96.75,3.25,99.54,0.46,86.53,224,0.9,bicubic
tf_efficientnetv2_l.in1k,96.74,3.26,99.55,0.45,118.52,480,1.0,bicubic
flexivit_large.600ep_in1k,96.73,3.27,99.56,0.44,304.36,240,0.95,bicubic
inception_next_base.sail_in1k_384,96.72,3.28,99.61,0.39,86.67,384,1.0,bicubic
tf_efficientnet_b4.ns_jft_in1k,96.71,3.29,99.64,0.36,19.34,380,0.922,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,96.7,3.3,99.65,0.35,304.33,224,0.9,bicubic
flexivit_large.300ep_in1k,96.7,3.3,99.58,0.42,304.36,240,0.95,bicubic
convformer_s36.sail_in1k_384,96.7,3.3,99.57,0.43,40.01,384,1.0,bicubic
tf_efficientnet_b8.ra_in1k,96.7,3.3,99.53,0.47,87.41,672,0.954,bicubic
eva02_small_patch14_336.mim_in22k_ft_in1k,96.69,3.31,99.61,0.39,22.13,336,1.0,bicubic
deit3_small_patch16_384.fb_in22k_ft_in1k,96.67,3.33,99.64,0.36,22.21,384,1.0,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,96.66,3.34,99.66,0.34,86.53,224,0.9,bicubic
cait_s36_384.fb_dist_in1k,96.63,3.37,99.61,0.39,68.37,384,1.0,bicubic
dm_nfnet_f3.dm_in1k,96.62,3.38,99.63,0.37,254.92,416,0.94,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,96.62,3.38,99.56,0.44,86.57,224,0.95,bicubic
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,96.61,3.39,99.48,0.52,88.30,384,1.0,bicubic
regnetz_e8.ra3_in1k,96.6,3.4,99.62,0.38,57.70,320,1.0,bicubic
convnext_small.in12k_ft_in1k,96.6,3.4,99.58,0.42,50.22,288,1.0,bicubic
maxvit_tiny_tf_384.in1k,96.6,3.4,99.56,0.44,30.98,384,1.0,bicubic
deit3_huge_patch14_224.fb_in1k,96.58,3.42,99.52,0.48,632.13,224,0.9,bicubic
cait_s24_384.fb_dist_in1k,96.57,3.43,99.55,0.45,47.06,384,1.0,bicubic
tf_efficientnet_b7.ra_in1k,96.57,3.43,99.52,0.48,66.35,600,0.949,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,96.56,3.44,99.65,0.35,88.59,256,1.0,bicubic
convnext_tiny.in12k_ft_in1k_384,96.56,3.44,99.63,0.37,28.59,384,1.0,bicubic
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,96.56,3.44,99.52,0.48,88.34,448,1.0,bicubic
tf_efficientnet_b8.ap_in1k,96.55,3.45,99.54,0.46,87.41,672,0.954,bicubic
caformer_s18.sail_in22k_ft_in1k_384,96.53,3.47,99.58,0.42,26.34,384,1.0,bicubic
dm_nfnet_f2.dm_in1k,96.52,3.48,99.57,0.43,193.78,352,0.92,bicubic
deit_base_distilled_patch16_384.fb_in1k,96.51,3.49,99.59,0.41,87.63,384,1.0,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,96.51,3.49,99.56,0.44,86.57,224,0.9,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,96.51,3.49,99.55,0.45,86.57,224,0.95,bicubic
convformer_s36.sail_in22k_ft_in1k,96.5,3.5,99.63,0.37,40.01,224,1.0,bicubic
caformer_b36.sail_in1k,96.5,3.5,99.46,0.54,98.75,224,1.0,bicubic
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,96.49,3.51,99.62,0.38,39.03,384,0.95,bicubic
tf_efficientnetv2_m.in1k,96.48,3.52,99.61,0.39,54.14,480,1.0,bicubic
tf_efficientnetv2_s.in21k_ft_in1k,96.47,3.53,99.57,0.43,21.46,384,1.0,bicubic
vit_base_r50_s16_384.orig_in21k_ft_in1k,96.45,3.55,99.66,0.34,98.95,384,1.0,bicubic
vit_base_patch32_clip_384.openai_ft_in12k_in1k,96.42,3.58,99.46,0.54,88.30,384,0.95,bicubic
caformer_s18.sail_in1k_384,96.41,3.59,99.56,0.44,26.34,384,1.0,bicubic
caformer_m36.sail_in1k,96.41,3.59,99.53,0.47,56.20,224,1.0,bicubic
convnext_large.fb_in1k,96.4,3.6,99.53,0.47,197.77,288,1.0,bicubic
mvitv2_large.fb_in1k,96.4,3.6,99.45,0.55,217.99,224,0.9,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,96.38,3.62,99.5,0.5,21.20,224,0.95,bicubic
tf_efficientnet_b6.ap_in1k,96.37,3.63,99.55,0.45,43.04,528,0.942,bicubic
tf_efficientnet_b7.ap_in1k,96.35,3.65,99.59,0.41,66.35,600,0.949,bicubic
maxvit_base_tf_224.in1k,96.34,3.66,99.37,0.63,119.47,224,0.95,bicubic
maxvit_large_tf_224.in1k,96.33,3.67,99.41,0.59,211.79,224,0.95,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,96.32,3.68,99.54,0.46,86.57,224,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,96.31,3.69,99.55,0.45,86.57,224,0.9,bicubic
convnext_base.fb_in1k,96.31,3.69,99.5,0.5,88.59,288,1.0,bicubic
vit_base_patch16_224.augreg_in21k_ft_in1k,96.3,3.7,99.56,0.44,86.57,224,0.9,bicubic
dm_nfnet_f1.dm_in1k,96.3,3.7,99.53,0.47,132.63,320,0.91,bicubic
tf_efficientnet_b6.aa_in1k,96.3,3.7,99.53,0.47,43.04,528,0.942,bicubic
fastvit_ma36.apple_dist_in1k,96.3,3.7,99.5,0.5,44.07,256,0.95,bicubic
efficientnetv2_rw_m.agc_in1k,96.27,3.73,99.56,0.44,53.24,416,1.0,bicubic
convformer_s18.sail_in1k_384,96.25,3.75,99.54,0.46,26.77,384,1.0,bicubic
convnext_tiny.in12k_ft_in1k,96.24,3.76,99.64,0.36,28.59,288,1.0,bicubic
davit_base.msft_in1k,96.24,3.76,99.41,0.59,87.95,224,0.95,bicubic
convformer_b36.sail_in1k,96.24,3.76,99.29,0.71,99.88,224,1.0,bicubic
deit3_base_patch16_384.fb_in1k,96.23,3.77,99.4,0.6,86.88,384,1.0,bicubic
maxxvit_rmlp_small_rw_256.sw_in1k,96.21,3.79,99.48,0.52,66.01,256,0.95,bicubic
coatnet_rmlp_2_rw_224.sw_in1k,96.21,3.79,99.28,0.72,73.88,224,0.95,bicubic
vit_base_patch16_384.orig_in21k_ft_in1k,96.2,3.8,99.53,0.47,86.86,384,1.0,bicubic
edgenext_base.in21k_ft_in1k,96.2,3.8,99.47,0.53,18.51,320,1.0,bicubic
maxvit_small_tf_224.in1k,96.2,3.8,99.46,0.54,68.93,224,0.95,bicubic
deit3_large_patch16_224.fb_in1k,96.19,3.81,99.3,0.7,304.37,224,0.9,bicubic
vit_large_r50_s32_224.augreg_in21k_ft_in1k,96.18,3.82,99.53,0.47,328.99,224,0.9,bicubic
convnext_tiny.fb_in22k_ft_in1k_384,96.17,3.83,99.5,0.5,28.59,384,1.0,bicubic
regnetz_d8_evos.ch_in1k,96.14,3.86,99.49,0.51,23.46,320,1.0,bicubic
deit3_medium_patch16_224.fb_in22k_ft_in1k,96.14,3.86,99.48,0.52,38.85,224,1.0,bicubic
efficientvit_b3.r288_in1k,96.14,3.86,99.29,0.71,48.65,288,1.0,bicubic
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,96.13,3.87,99.34,0.66,41.72,224,0.95,bicubic
flexivit_base.1200ep_in1k,96.12,3.88,99.41,0.59,86.59,240,0.95,bicubic
convformer_s36.sail_in1k,96.11,3.89,99.31,0.69,40.01,224,1.0,bicubic
convformer_s18.sail_in22k_ft_in1k,96.1,3.9,99.49,0.51,26.77,224,1.0,bicubic
tf_efficientnet_b3.ns_jft_in1k,96.1,3.9,99.48,0.52,12.23,300,0.904,bicubic
tf_efficientnet_b5.ap_in1k,96.09,3.91,99.54,0.46,30.39,456,0.934,bicubic
caformer_s36.sail_in1k,96.08,3.92,99.51,0.49,39.30,224,1.0,bicubic
gcvit_base.in1k,96.08,3.92,99.39,0.61,90.32,224,0.875,bicubic
convformer_m36.sail_in1k,96.08,3.92,99.25,0.75,57.05,224,1.0,bicubic
tf_efficientnet_b7.aa_in1k,96.07,3.93,99.45,0.55,66.35,600,0.949,bicubic
vit_small_r26_s32_384.augreg_in21k_ft_in1k,96.06,3.94,99.55,0.45,36.47,384,1.0,bicubic
maxvit_rmlp_tiny_rw_256.sw_in1k,96.04,3.96,99.41,0.59,29.15,256,0.95,bicubic
vit_base_patch16_224_miil.in21k_ft_in1k,96.04,3.96,99.35,0.65,86.54,224,0.875,bilinear
davit_small.msft_in1k,96.03,3.97,99.4,0.6,49.75,224,0.95,bicubic
caformer_s18.sail_in22k_ft_in1k,96.01,3.99,99.55,0.45,26.34,224,1.0,bicubic
regnetz_d8.ra3_in1k,96.01,3.99,99.52,0.48,23.37,320,1.0,bicubic
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,96.0,4.0,99.5,0.5,38.86,256,0.95,bicubic
cs3se_edgenet_x.c2ns_in1k,96.0,4.0,99.43,0.57,50.72,320,1.0,bicubic
cait_xs24_384.fb_dist_in1k,96.0,4.0,99.42,0.58,26.67,384,1.0,bicubic
repvit_m2_3.dist_450e_in1k,95.99,4.01,99.4,0.6,23.69,224,0.95,bicubic
vit_small_patch16_384.augreg_in21k_ft_in1k,95.98,4.02,99.59,0.41,22.20,384,1.0,bicubic
mvitv2_base.fb_in1k,95.98,4.02,99.33,0.67,51.47,224,0.9,bicubic
tf_efficientnet_b5.ra_in1k,95.97,4.03,99.46,0.54,30.39,456,0.934,bicubic
convnext_small.fb_in1k,95.97,4.03,99.43,0.57,50.22,288,1.0,bicubic
fastvit_ma36.apple_in1k,95.97,4.03,99.36,0.64,44.07,256,0.95,bicubic
flexivit_base.600ep_in1k,95.96,4.04,99.42,0.58,86.59,240,0.95,bicubic
fastvit_sa36.apple_dist_in1k,95.96,4.04,99.37,0.63,31.53,256,0.9,bicubic
maxvit_rmlp_small_rw_224.sw_in1k,95.96,4.04,99.35,0.65,64.90,224,0.9,bicubic
flexivit_base.300ep_in1k,95.95,4.05,99.37,0.63,86.59,240,0.95,bicubic
pvt_v2_b5.in1k,95.94,4.06,99.39,0.61,81.96,224,0.9,bicubic
pvt_v2_b4.in1k,95.92,4.08,99.36,0.64,62.56,224,0.9,bicubic
inception_next_base.sail_in1k,95.92,4.08,99.22,0.78,86.67,224,0.95,bicubic
gcvit_small.in1k,95.91,4.09,99.28,0.72,51.09,224,0.875,bicubic
vit_base_patch32_384.augreg_in21k_ft_in1k,95.9,4.1,99.44,0.56,88.30,384,1.0,bicubic
focalnet_base_srf.ms_in1k,95.9,4.1,99.34,0.66,88.15,224,0.9,bicubic
mvitv2_small.fb_in1k,95.89,4.11,99.36,0.64,34.87,224,0.9,bicubic
tf_efficientnet_b5.aa_in1k,95.88,4.12,99.35,0.65,30.39,456,0.934,bicubic
regnetz_d32.ra3_in1k,95.87,4.13,99.43,0.57,27.58,320,0.95,bicubic
tf_efficientnet_b5.in1k,95.87,4.13,99.39,0.61,30.39,456,0.934,bicubic
deit3_small_patch16_224.fb_in22k_ft_in1k,95.83,4.17,99.39,0.61,22.06,224,1.0,bicubic
efficientvit_b3.r256_in1k,95.83,4.17,99.22,0.78,48.65,256,1.0,bicubic
focalnet_base_lrf.ms_in1k,95.83,4.17,99.18,0.82,88.75,224,0.9,bicubic
maxvit_tiny_tf_224.in1k,95.81,4.19,99.26,0.74,30.92,224,0.95,bicubic
edgenext_base.usi_in1k,95.79,4.21,99.57,0.43,18.51,320,1.0,bicubic
deit3_base_patch16_224.fb_in1k,95.77,4.23,99.27,0.73,86.59,224,0.9,bicubic
efficientformerv2_l.snap_dist_in1k,95.76,4.24,99.37,0.63,26.32,224,0.95,bicubic
deit_base_distilled_patch16_224.fb_in1k,95.75,4.25,99.28,0.72,87.34,224,0.9,bicubic
focalnet_small_lrf.ms_in1k,95.74,4.26,99.21,0.79,50.34,224,0.9,bicubic
maxvit_tiny_rw_224.sw_in1k,95.74,4.26,99.16,0.84,29.06,224,0.95,bicubic
tf_efficientnetv2_s.in1k,95.71,4.29,99.4,0.6,21.46,384,1.0,bicubic
efficientnetv2_rw_s.ra2_in1k,95.71,4.29,99.38,0.62,23.94,384,1.0,bicubic
tiny_vit_11m_224.dist_in22k_ft_in1k,95.71,4.29,99.26,0.74,11.00,224,0.95,bicubic
dm_nfnet_f0.dm_in1k,95.69,4.31,99.35,0.65,71.49,256,0.9,bicubic
xception65.ra3_in1k,95.69,4.31,99.32,0.68,39.92,299,0.94,bicubic
caformer_s18.sail_in1k,95.68,4.32,99.29,0.71,26.34,224,1.0,bicubic
inception_next_small.sail_in1k,95.68,4.32,99.25,0.75,49.37,224,0.875,bicubic
cait_s24_224.fb_dist_in1k,95.66,4.34,99.39,0.61,46.92,224,1.0,bicubic
gcvit_tiny.in1k,95.66,4.34,99.33,0.67,28.22,224,0.875,bicubic
xception65p.ra3_in1k,95.66,4.34,99.27,0.73,39.82,299,0.94,bicubic
tiny_vit_21m_224.in1k,95.65,4.35,99.25,0.75,21.20,224,0.95,bicubic
regnetz_c16_evos.ch_in1k,95.64,4.36,99.42,0.58,13.49,320,0.95,bicubic
deit_base_patch16_384.fb_in1k,95.64,4.36,99.24,0.76,86.86,384,1.0,bicubic
focalnet_small_srf.ms_in1k,95.63,4.37,99.29,0.71,49.89,224,0.9,bicubic
coatnet_1_rw_224.sw_in1k,95.62,4.38,99.22,0.78,41.72,224,0.95,bicubic
fastvit_sa36.apple_in1k,95.61,4.39,99.32,0.68,31.53,256,0.9,bicubic
efficientformer_l7.snap_dist_in1k,95.6,4.4,99.44,0.56,82.23,224,0.95,bicubic
deit3_small_patch16_384.fb_in1k,95.6,4.4,99.39,0.61,22.21,384,1.0,bicubic
tf_efficientnetv2_b3.in21k_ft_in1k,95.6,4.4,99.28,0.72,14.36,300,0.9,bicubic
repvit_m2_3.dist_300e_in1k,95.59,4.41,99.39,0.61,23.69,224,0.95,bicubic
tf_efficientnet_b4.aa_in1k,95.59,4.41,99.33,0.67,19.34,380,0.922,bicubic
efficientvit_b2.r288_in1k,95.58,4.42,99.22,0.78,24.33,288,1.0,bicubic
fastvit_sa24.apple_dist_in1k,95.55,4.45,99.31,0.69,21.55,256,0.9,bicubic
efficientvit_b3.r224_in1k,95.54,4.46,99.19,0.81,48.65,224,0.95,bicubic
efficientnet_b4.ra2_in1k,95.53,4.47,99.4,0.6,19.34,384,1.0,bicubic
tf_efficientnet_b2.ns_jft_in1k,95.52,4.48,99.34,0.66,9.11,260,0.89,bicubic
tf_efficientnet_b4.ap_in1k,95.49,4.51,99.39,0.61,19.34,380,0.922,bicubic
coatnet_rmlp_1_rw_224.sw_in1k,95.49,4.51,99.25,0.75,41.69,224,0.95,bicubic
tf_efficientnet_b4.in1k,95.48,4.52,99.27,0.73,19.34,380,0.922,bicubic
