model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,89.927,10.073,98.414,1.586,116.14,224,0.95,bicubic,3.033,0.4,-24
convnext_small.fb_in22k_ft_in1k_384,89.916,10.084,98.685,1.315,50.22,384,1.0,bicubic,4.138,0.795,43
efficientnet_b5.sw_in12k_ft_in1k,89.912,10.088,98.565,1.435,30.39,448,1.0,bicubic,4.016,0.829,33
deit3_base_patch16_384.fb_in22k_ft_in1k,89.891,10.11,98.602,1.399,86.88,384,1.0,bicubic,3.151,0.486,-19
convnext_large.fb_in22k_ft_in1k,89.876,10.124,98.593,1.407,197.77,288,1.0,bicubic,2.85,0.389,-39
tiny_vit_21m_384.dist_in22k_ft_in1k,89.863,10.137,98.499,1.501,21.23,384,1.0,bicubic,3.755,0.789,12
convnext_base.fb_in22k_ft_in1k,89.858,10.142,98.691,1.309,88.59,288,1.0,bicubic,3.584,0.599,-1
caformer_m36.sail_in22k_ft_in1k,89.852,10.148,98.585,1.415,56.20,224,1.0,bicubic,3.258,0.561,-21
cait_s36_384.fb_dist_in1k,89.835,10.165,98.427,1.573,68.37,384,1.0,bicubic,4.381,0.949,52
coatnet_2_rw_224.sw_in12k_ft_in1k,89.831,10.169,98.527,1.473,73.87,224,0.95,bicubic,3.267,0.631,-21
convformer_m36.sail_in22k_ft_in1k,89.818,10.182,98.548,1.452,57.05,224,1.0,bicubic,3.67,0.698,5
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,89.811,10.188,98.668,1.332,88.59,256,1.0,bicubic,3.441,0.684,-11
maxvit_large_tf_512.in1k,89.799,10.201,98.33,1.67,212.33,512,1.0,bicubic,3.273,0.45,-25
vit_large_r50_s32_384.augreg_in21k_ft_in1k,89.792,10.208,98.522,1.478,329.09,384,1.0,bicubic,3.61,0.6,-4
tf_efficientnet_b6.ns_jft_in1k,89.786,10.214,98.508,1.492,43.04,528,0.942,bicubic,3.328,0.618,-20
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,89.775,10.225,98.469,1.531,73.88,224,0.95,bicubic,3.271,0.575,-29
tf_efficientnetv2_xl.in21k_ft_in1k,89.773,10.227,98.288,1.712,208.12,512,1.0,bicubic,3.025,0.274,-40
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,89.752,10.248,98.484,1.516,116.09,224,0.95,bicubic,3.11,0.464,-38
beitv2_base_patch16_224.in1k_ft_in22k_in1k,89.743,10.257,98.585,1.415,86.53,224,0.9,bicubic,3.269,0.532,-27
dm_nfnet_f4.dm_in1k,89.741,10.259,98.409,1.591,316.07,512,0.951,bicubic,3.905,0.591,12
dm_nfnet_f5.dm_in1k,89.737,10.263,98.441,1.559,377.21,544,0.954,bicubic,3.637,0.753,-6
caformer_s18.sail_in22k_ft_in1k_384,89.72,10.28,98.578,1.422,26.34,384,1.0,bicubic,4.306,0.876,36
vit_base_patch8_224.augreg2_in21k_ft_in1k,89.718,10.283,98.51,1.49,86.58,224,0.9,bicubic,3.499,0.678,-21
convformer_m36.sail_in1k_384,89.718,10.283,98.435,1.565,57.05,384,1.0,bicubic,4.138,0.893,24
vit_base_patch16_clip_384.openai_ft_in1k,89.707,10.293,98.508,1.492,86.86,384,1.0,bicubic,3.501,0.632,-21
caformer_s36.sail_in22k_ft_in1k,89.701,10.3,98.638,1.362,39.30,224,1.0,bicubic,3.91,0.812,8
deit3_large_patch16_384.fb_in1k,89.688,10.312,98.39,1.61,304.76,384,1.0,bicubic,3.876,0.792,4
caformer_s36.sail_in1k_384,89.679,10.321,98.324,1.676,39.30,384,1.0,bicubic,3.937,0.652,9
convformer_b36.sail_in1k_384,89.658,10.342,98.379,1.621,99.88,384,1.0,bicubic,3.918,0.855,8
tf_efficientnet_b5.ns_jft_in1k,89.651,10.349,98.486,1.514,30.39,456,0.934,bicubic,3.563,0.73,-18
dm_nfnet_f3.dm_in1k,89.647,10.353,98.463,1.537,254.92,416,0.94,bicubic,3.961,0.893,9
convnext_base.clip_laion2b_augreg_ft_in1k,89.645,10.355,98.463,1.537,88.59,256,1.0,bicubic,3.487,0.783,-25
convnext_small.in12k_ft_in1k_384,89.598,10.402,98.48,1.52,50.22,384,1.0,bicubic,3.416,0.558,-31
maxvit_base_tf_384.in1k,89.589,10.411,98.32,1.68,119.65,384,1.0,bicubic,3.287,0.522,-38
tf_efficientnet_b8.ap_in1k,89.579,10.421,98.305,1.695,87.41,672,0.954,bicubic,4.215,1.013,28
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,89.566,10.434,98.42,1.58,86.57,224,0.95,bicubic,3.396,0.664,-33
maxvit_tiny_tf_512.in1k,89.562,10.438,98.335,1.665,31.05,512,1.0,bicubic,3.898,0.751,2
convformer_s18.sail_in22k_ft_in1k_384,89.553,10.447,98.531,1.469,26.77,384,1.0,bicubic,4.555,0.961,57
maxvit_large_tf_384.in1k,89.553,10.447,98.185,1.815,212.03,384,1.0,bicubic,3.323,0.497,-41
tf_efficientnetv2_l.in1k,89.54,10.46,98.339,1.661,118.52,480,1.0,bicubic,3.876,0.865,-1
flexivit_large.1200ep_in1k,89.534,10.466,98.414,1.586,304.36,240,0.95,bicubic,3.89,0.874,-1
flexivit_large.600ep_in1k,89.51,10.49,98.392,1.608,304.36,240,0.95,bicubic,3.97,0.904,1
cait_s24_384.fb_dist_in1k,89.504,10.496,98.362,1.638,47.06,384,1.0,bicubic,4.456,1.016,45
convformer_s36.sail_in22k_ft_in1k,89.496,10.505,98.454,1.546,40.01,224,1.0,bicubic,4.082,0.886,8
convformer_s36.sail_in1k_384,89.481,10.52,98.369,1.631,40.01,384,1.0,bicubic,4.103,0.893,10
convnext_tiny.in12k_ft_in1k_384,89.472,10.528,98.505,1.494,28.59,384,1.0,bicubic,4.35,0.9,30
inception_next_base.sail_in1k_384,89.453,10.547,98.345,1.655,86.67,384,1.0,bicubic,4.251,0.931,23
vit_base_patch16_224.augreg2_in21k_ft_in1k,89.446,10.554,98.441,1.559,86.57,224,0.9,bicubic,4.352,0.911,31
deit3_base_patch16_224.fb_in22k_ft_in1k,89.444,10.556,98.557,1.443,86.59,224,1.0,bicubic,3.744,0.811,-18
maxvit_small_tf_512.in1k,89.444,10.556,98.354,1.646,69.13,512,1.0,bicubic,3.36,0.59,-45
vit_base_patch8_224.augreg_in21k_ft_in1k,89.436,10.564,98.484,1.516,86.58,224,0.9,bicubic,3.638,0.694,-28
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,89.436,10.564,98.401,1.599,88.34,448,1.0,bicubic,3.656,0.763,-27
deit_base_distilled_patch16_384.fb_in1k,89.434,10.566,98.439,1.561,87.63,384,1.0,bicubic,4.01,1.033,-6
vit_base_patch16_clip_224.laion2b_ft_in1k,89.431,10.569,98.469,1.531,86.57,224,1.0,bicubic,3.961,0.893,-11
tf_efficientnet_b7.ap_in1k,89.431,10.569,98.345,1.655,66.35,600,0.949,bicubic,4.307,1.093,20
caformer_b36.sail_in1k,89.408,10.592,98.222,1.778,98.75,224,1.0,bicubic,3.904,0.912,-15
vit_base_patch16_clip_224.openai_ft_in12k_in1k,89.404,10.596,98.394,1.606,86.57,224,0.95,bicubic,3.462,0.666,-42
beit_base_patch16_224.in22k_ft_in22k_in1k,89.395,10.605,98.529,1.471,86.53,224,0.9,bicubic,4.183,0.871,7
regnetz_e8.ra3_in1k,89.378,10.622,98.459,1.542,57.70,320,1.0,bicubic,4.344,1.186,25
deit3_small_patch16_384.fb_in22k_ft_in1k,89.363,10.637,98.386,1.614,22.21,384,1.0,bicubic,4.539,0.9,39
tf_efficientnetv2_m.in1k,89.35,10.65,98.326,1.674,54.14,480,1.0,bicubic,4.146,0.962,5
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,89.348,10.652,98.495,1.505,39.03,384,0.95,bicubic,3.818,0.859,-24
tf_efficientnet_b8.ra_in1k,89.348,10.652,98.305,1.695,87.41,672,0.954,bicubic,3.98,0.911,-10
tf_efficientnet_b6.ap_in1k,89.344,10.656,98.283,1.717,43.04,528,0.942,bicubic,4.556,1.145,38
eva02_small_patch14_336.mim_in22k_ft_in1k,89.333,10.667,98.377,1.623,22.13,336,1.0,bicubic,3.615,0.743,-38
caformer_s18.sail_in1k_384,89.331,10.669,98.294,1.706,26.34,384,1.0,bicubic,4.305,0.936,18
vit_large_patch16_224.augreg_in21k_ft_in1k,89.318,10.682,98.39,1.61,304.33,224,0.9,bicubic,3.482,0.726,-51
flexivit_large.300ep_in1k,89.31,10.69,98.324,1.676,304.36,240,0.95,bicubic,4.022,0.924,-12
tf_efficientnet_b4.ns_jft_in1k,89.301,10.699,98.345,1.655,19.34,380,0.922,bicubic,4.141,0.877,0
convnext_small.fb_in22k_ft_in1k,89.299,10.701,98.358,1.642,50.22,288,1.0,bicubic,4.037,0.676,-12
beitv2_base_patch16_224.in1k_ft_in1k,89.271,10.729,98.262,1.738,86.53,224,0.9,bicubic,3.677,0.756,-40
deit3_huge_patch14_224.fb_in1k,89.218,10.782,98.164,1.836,632.13,224,0.9,bicubic,3.994,0.804,-12
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,89.197,10.803,98.358,1.642,88.30,384,1.0,bicubic,3.831,0.698,-25
dm_nfnet_f2.dm_in1k,89.194,10.806,98.228,1.772,193.78,352,0.92,bicubic,4.002,0.882,-10
vit_base_patch16_clip_224.openai_ft_in1k,89.171,10.829,98.269,1.732,86.57,224,0.9,bicubic,3.879,0.832,-26
cait_xs24_384.fb_dist_in1k,89.147,10.852,98.292,1.708,26.67,384,1.0,bicubic,5.085,1.408,87
fastvit_ma36.apple_dist_in1k,89.124,10.876,98.142,1.857,44.07,256,0.95,bicubic,4.526,1.141,27
convformer_s18.sail_in1k_384,89.124,10.876,98.13,1.87,26.77,384,1.0,bicubic,4.722,1.018,57
maxvit_tiny_tf_384.in1k,89.111,10.889,98.211,1.789,30.98,384,1.0,bicubic,4.011,0.833,-12
maxvit_small_tf_384.in1k,89.109,10.891,98.164,1.836,69.02,384,1.0,bicubic,3.569,0.702,-50
tf_efficientnet_b7.ra_in1k,89.081,10.919,98.185,1.815,66.35,600,0.949,bicubic,4.149,0.977,1
tiny_vit_21m_224.dist_in22k_ft_in1k,89.077,10.923,98.236,1.764,21.20,224,0.95,bicubic,3.991,0.87,-12
vit_base_patch32_clip_384.openai_ft_in12k_in1k,89.045,10.955,98.281,1.719,88.30,384,0.95,bicubic,3.831,0.877,-30
convnext_small.in12k_ft_in1k,89.024,10.976,98.243,1.757,50.22,288,1.0,bicubic,3.694,0.697,-41
dm_nfnet_f1.dm_in1k,89.017,10.983,98.256,1.744,132.63,320,0.91,bicubic,4.315,1.074,8
convnext_large.fb_in1k,88.994,11.006,98.04,1.96,197.77,288,1.0,bicubic,4.148,0.826,-2
efficientnetv2_rw_m.agc_in1k,88.985,11.015,98.219,1.781,53.24,416,1.0,bicubic,4.175,1.067,-1
caformer_m36.sail_in1k,88.985,11.015,98.016,1.984,56.20,224,1.0,bicubic,3.753,0.816,-39
regnetz_d8_evos.ch_in1k,88.951,11.049,98.181,1.819,23.46,320,1.0,bicubic,4.825,1.169,60
edgenext_base.in21k_ft_in1k,88.942,11.057,98.279,1.721,18.51,320,1.0,bicubic,4.888,1.083,66
tf_efficientnet_b5.ap_in1k,88.942,11.057,98.166,1.834,30.39,456,0.934,bicubic,4.684,1.192,44
mvitv2_large.fb_in1k,88.936,11.064,97.965,2.035,217.99,224,0.9,bicubic,3.692,0.751,-47
caformer_s18.sail_in22k_ft_in1k,88.932,11.068,98.311,1.689,26.34,224,1.0,bicubic,4.858,1.113,60
deit3_base_patch16_384.fb_in1k,88.923,11.077,98.042,1.958,86.88,384,1.0,bicubic,3.849,0.768,-28
deit3_medium_patch16_224.fb_in22k_ft_in1k,88.919,11.081,98.296,1.704,38.85,224,1.0,bicubic,4.369,1.108,4
convnext_tiny.in12k_ft_in1k,88.906,11.094,98.309,1.691,28.59,288,1.0,bicubic,4.456,0.969,15
tf_efficientnetv2_s.in21k_ft_in1k,88.898,11.102,98.275,1.725,21.46,384,1.0,bicubic,4.612,1.023,34
vit_base_patch16_224.augreg_in21k_ft_in1k,88.868,11.132,98.232,1.768,86.57,224,0.9,bicubic,4.336,0.938,3
convnext_tiny.fb_in22k_ft_in1k_384,88.855,11.145,98.296,1.704,28.59,384,1.0,bicubic,4.767,1.152,52
regnetz_d8.ra3_in1k,88.853,11.147,98.189,1.81,23.37,320,1.0,bicubic,4.801,1.194,56
convformer_b36.sail_in1k,88.851,11.149,97.878,2.122,99.88,224,1.0,bicubic,4.033,0.932,-18
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,88.842,11.158,97.869,2.131,41.72,224,0.95,bicubic,3.932,0.911,-25
vit_small_r26_s32_384.augreg_in21k_ft_in1k,88.821,11.179,98.341,1.659,36.47,384,1.0,bicubic,4.773,1.013,52
vit_base_r50_s16_384.orig_in21k_ft_in1k,88.806,11.194,98.232,1.768,98.95,384,1.0,bicubic,3.83,0.942,-37
tf_efficientnet_b7.aa_in1k,88.804,11.196,98.057,1.943,66.35,600,0.949,bicubic,4.388,1.149,13
maxxvit_rmlp_small_rw_256.sw_in1k,88.795,11.205,98.064,1.937,66.01,256,0.95,bicubic,4.171,0.996,-18
fastvit_sa36.apple_dist_in1k,88.789,11.211,98.096,1.905,31.53,256,0.9,bicubic,4.763,1.242,47
convformer_m36.sail_in1k,88.787,11.213,97.769,2.231,57.05,224,1.0,bicubic,4.293,0.903,-7
convnext_base.fb_in1k,88.763,11.237,97.92,2.08,88.59,288,1.0,bicubic,4.335,0.952,1
deit3_large_patch16_224.fb_in1k,88.763,11.237,97.92,2.08,304.37,224,0.9,bicubic,3.989,0.884,-32
tf_efficientnet_b6.aa_in1k,88.759,11.241,98.066,1.934,43.04,528,0.942,bicubic,4.647,1.182,29
caformer_s36.sail_in1k,88.746,11.254,98.023,1.977,39.30,224,1.0,bicubic,4.24,1.027,-17
vit_base_patch16_224_miil.in21k_ft_in1k,88.742,11.258,98.027,1.973,86.54,224,0.875,bilinear,4.476,1.223,8
edgenext_base.usi_in1k,88.735,11.265,98.147,1.853,18.51,320,1.0,bicubic,4.777,1.377,38
convformer_s18.sail_in22k_ft_in1k,88.727,11.273,98.194,1.806,26.77,224,1.0,bicubic,4.989,1.146,65
davit_base.msft_in1k,88.701,11.299,97.874,2.127,87.95,224,0.95,bicubic,4.059,0.854,-39
regnetz_d32.ra3_in1k,88.652,11.348,98.078,1.922,27.58,320,0.95,bicubic,4.63,1.21,27
vit_small_patch16_384.augreg_in21k_ft_in1k,88.648,11.352,98.23,1.77,22.20,384,1.0,bicubic,4.844,1.13,47
flexivit_base.1200ep_in1k,88.648,11.352,97.935,2.065,86.59,240,0.95,bicubic,3.972,0.941,-43
mvitv2_base.fb_in1k,88.644,11.356,97.826,2.174,51.47,224,0.9,bicubic,4.194,0.968,-24
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,88.633,11.367,98.189,1.81,38.86,256,0.95,bicubic,4.187,0.98,-25
davit_small.msft_in1k,88.631,11.369,97.953,2.047,49.75,224,0.95,bicubic,4.379,1.013,-4
maxvit_base_tf_224.in1k,88.588,11.412,97.85,2.15,119.47,224,0.95,bicubic,3.728,0.862,-62
efficientvit_b3.r288_in1k,88.562,11.438,97.707,2.293,48.65,288,1.0,bicubic,4.409,0.971,0
flexivit_base.600ep_in1k,88.545,11.455,97.933,2.067,86.59,240,0.95,bicubic,4.021,0.997,-47
maxvit_rmlp_small_rw_224.sw_in1k,88.522,11.478,97.773,2.227,64.90,224,0.9,bicubic,4.03,0.763,-44
coatnet_rmlp_2_rw_224.sw_in1k,88.513,11.487,97.566,2.434,73.88,224,0.95,bicubic,3.905,0.826,-60
efficientformerv2_l.snap_dist_in1k,88.509,11.491,97.963,2.037,26.32,224,0.95,bicubic,4.877,1.405,49
repvit_m2_3.dist_300e_in1k,88.503,11.497,97.942,2.058,23.69,224,0.95,bicubic,4.999,1.438,57
gcvit_base.in1k,88.501,11.499,97.769,2.231,90.32,224,0.875,bicubic,4.056,0.687,-42
repvit_m2_3.dist_450e_in1k,88.488,11.512,98.059,1.941,23.69,224,0.95,bicubic,4.746,1.415,31
convformer_s36.sail_in1k,88.486,11.514,97.763,2.237,40.01,224,1.0,bicubic,4.426,1.017,-7
flexivit_base.300ep_in1k,88.479,11.521,97.846,2.154,86.59,240,0.95,bicubic,4.073,0.962,-38
efficientnetv2_rw_s.ra2_in1k,88.469,11.531,97.978,2.022,23.94,384,1.0,bicubic,4.663,1.246,17
fastvit_sa24.apple_dist_in1k,88.46,11.54,97.957,2.043,21.55,256,0.9,bicubic,5.118,1.405,69
maxvit_large_tf_224.in1k,88.46,11.54,97.809,2.191,211.79,224,0.95,bicubic,3.518,0.839,-94
maxvit_small_tf_224.in1k,88.456,11.544,97.88,2.12,68.93,224,0.95,bicubic,4.03,1.056,-48
cait_s24_224.fb_dist_in1k,88.443,11.557,97.961,2.039,46.92,224,1.0,bicubic,5.001,1.387,52
vit_large_r50_s32_224.augreg_in21k_ft_in1k,88.432,11.568,98.083,1.917,328.99,224,0.9,bicubic,4.014,0.911,-54
inception_next_base.sail_in1k,88.432,11.568,97.773,2.227,86.67,224,0.95,bicubic,4.34,0.977,-24
tf_efficientnet_b3.ns_jft_in1k,88.428,11.572,98.031,1.968,12.23,300,0.904,bicubic,4.376,1.113,-20
