model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,69.13,30.87,80.06,19.94,116.14,384,1.0,bicubic,-28.21,-19.63,-11
vit_base_patch16_clip_224.laion2b_ft_in1k,68.78,31.22,82.503,17.497,86.57,224,1.0,bicubic,-27.54,-17.017,165
caformer_b36.sail_in22k_ft_in1k,68.603,31.397,80.857,19.143,98.75,224,1.0,bicubic,-28.757,-18.973,-17
convnext_xlarge.fb_in22k_ft_in1k_384,68.157,31.843,80.453,19.547,350.20,384,1.0,bicubic,-29.433,-19.317,-40
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,68.077,31.923,80.74,19.26,116.09,384,1.0,bicubic,-29.373,-19.02,-31
tf_efficientnet_b7.ns_jft_in1k,67.507,32.493,81.383,18.617,66.35,600,0.949,bicubic,-29.683,-18.317,8
vit_base_patch16_clip_384.openai_ft_in1k,67.35,32.65,81.687,18.313,86.86,384,1.0,bicubic,-29.46,-18.023,65
vit_large_patch16_384.augreg_in21k_ft_in1k,67.057,32.943,78.697,21.303,304.72,384,1.0,bicubic,-30.353,-21.083,-33
convformer_b36.sail_in22k_ft_in1k_384,66.823,33.177,79.443,20.557,99.88,384,1.0,bicubic,-30.667,-20.317,-42
convnext_large.fb_in22k_ft_in1k_384,66.673,33.327,79.797,20.203,197.77,384,1.0,bicubic,-30.627,-19.963,-18
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,66.58,33.42,78.413,21.587,73.88,384,1.0,bicubic,-30.79,-21.287,-30
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,66.53,33.47,78.027,21.973,116.14,224,0.95,bicubic,-30.58,-21.573,13
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,66.147,33.853,78.883,21.117,86.86,384,1.0,bicubic,-31.073,-20.817,-5
vit_base_patch16_clip_224.openai_ft_in1k,66.027,33.973,80.98,19.02,86.57,224,0.9,bicubic,-30.283,-18.52,151
beitv2_base_patch16_224.in1k_ft_in22k_in1k,65.757,34.243,78.893,21.107,86.53,224,0.9,bicubic,-31.153,-20.837,38
tf_efficientnet_b6.ns_jft_in1k,65.583,34.417,79.557,20.443,43.04,528,0.942,bicubic,-31.437,-20.153,20
caformer_m36.sail_in22k_ft_in1k_384,65.58,34.42,78.703,21.297,56.20,384,1.0,bicubic,-31.79,-21.087,-40
convformer_b36.sail_in22k_ft_in1k,65.513,34.487,78.14,21.86,99.88,224,1.0,bicubic,-31.747,-21.61,-22
convnext_xlarge.fb_in22k_ft_in1k,65.373,34.627,78.35,21.65,350.20,288,1.0,bicubic,-32.077,-21.47,-51
vit_base_patch16_clip_384.openai_ft_in12k_in1k,65.353,34.647,78.957,21.043,86.86,384,0.95,bicubic,-31.767,-20.613,-1
convnext_base.fb_in22k_ft_in1k_384,64.903,35.097,78.387,21.613,88.59,384,1.0,bicubic,-32.357,-21.353,-23
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,64.767,35.233,77.77,22.23,86.57,224,0.95,bicubic,-31.853,-21.79,79
vit_large_patch16_224.augreg_in21k_ft_in1k,64.36,35.64,76.18,23.82,304.33,224,0.9,bicubic,-32.34,-23.39,64
convnext_large.fb_in22k_ft_in1k,64.263,35.737,77.773,22.227,197.77,288,1.0,bicubic,-32.957,-21.957,-20
vit_large_r50_s32_384.augreg_in21k_ft_in1k,64.103,35.897,75.847,24.153,329.09,384,1.0,bicubic,-32.847,-23.783,18
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,64.01,35.99,77.513,22.487,116.09,224,0.95,bicubic,-33.08,-22.167,-3
beit_base_patch16_384.in22k_ft_in22k_in1k,63.623,36.377,78.103,21.897,86.74,384,1.0,bicubic,-33.697,-21.617,-46
caformer_m36.sail_in22k_ft_in1k,63.493,36.507,76.92,23.08,56.20,224,1.0,bicubic,-33.527,-22.81,4
caformer_s36.sail_in22k_ft_in1k_384,63.263,36.737,77.46,22.54,39.30,384,1.0,bicubic,-34.027,-22.29,-41
tf_efficientnet_b5.ns_jft_in1k,63.053,36.947,77.787,22.213,30.39,456,0.934,bicubic,-33.817,-21.853,23
vit_base_patch16_clip_224.openai_ft_in12k_in1k,62.943,37.057,76.597,23.403,86.57,224,0.95,bicubic,-33.567,-22.953,87
deit3_base_patch16_384.fb_in22k_ft_in1k,62.637,37.363,75.55,24.45,86.88,384,1.0,bicubic,-34.603,-24.19,-35
convnext_base.fb_in22k_ft_in1k,62.537,37.463,76.55,23.45,88.59,288,1.0,bicubic,-34.663,-23.21,-32
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,62.417,37.583,75.13,24.87,73.88,224,0.95,bicubic,-34.763,-24.52,-29
vit_base_patch8_224.augreg2_in21k_ft_in1k,62.4,37.6,76.6,23.4,86.58,224,0.9,bicubic,-34.55,-23.01,4
tf_efficientnetv2_l.in21k_ft_in1k,62.363,37.637,76.757,23.243,118.52,480,1.0,bicubic,-34.957,-22.883,-57
vit_base_patch8_224.augreg_in21k_ft_in1k,62.177,37.823,75.627,24.373,86.58,224,0.9,bicubic,-34.913,-23.983,-18
convformer_m36.sail_in22k_ft_in1k_384,62.103,37.897,75.54,24.46,57.05,384,1.0,bicubic,-35.267,-24.14,-65
tf_efficientnetv2_xl.in21k_ft_in1k,62.083,37.917,75.653,24.347,208.12,512,1.0,bicubic,-35.247,-23.947,-62
deit3_base_patch16_224.fb_in22k_ft_in1k,61.803,38.197,74.717,25.283,86.59,224,1.0,bicubic,-35.057,-24.903,14
beitv2_base_patch16_224.in1k_ft_in1k,61.427,38.573,75.93,24.07,86.53,224,0.9,bicubic,-35.323,-23.67,34
coatnet_2_rw_224.sw_in12k_ft_in1k,61.277,38.723,73.967,26.033,73.87,224,0.95,bicubic,-35.713,-25.693,-8
convformer_m36.sail_in22k_ft_in1k,61.257,38.743,74.62,25.38,57.05,224,1.0,bicubic,-35.813,-25.13,-23
tf_efficientnet_b4.ns_jft_in1k,61.233,38.767,76.16,23.84,19.34,380,0.922,bicubic,-35.477,-23.48,35
maxvit_base_tf_512.in1k,61.103,38.897,74.05,25.95,119.88,512,1.0,bicubic,-36.067,-25.63,-38
caformer_s36.sail_in22k_ft_in1k,60.767,39.233,75.167,24.833,39.30,224,1.0,bicubic,-36.053,-24.523,12
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,60.357,39.643,73.797,26.203,88.30,384,1.0,bicubic,-36.253,-25.683,47
beit_base_patch16_224.in22k_ft_in22k_in1k,60.317,39.683,75.593,24.407,86.53,224,0.9,bicubic,-36.343,-24.067,40
tf_efficientnetv2_m.in21k_ft_in1k,60.267,39.733,75.07,24.93,54.14,480,1.0,bicubic,-36.733,-24.56,-18
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,60.23,39.77,73.55,26.45,88.34,448,1.0,bicubic,-36.33,-25.97,54
vit_base_patch16_384.augreg_in21k_ft_in1k,60.183,39.817,73.843,26.157,86.86,384,1.0,bicubic,-36.837,-25.867,-22
convformer_s36.sail_in22k_ft_in1k_384,60.07,39.93,74.127,25.873,40.01,384,1.0,bicubic,-36.99,-25.583,-32
convnext_small.fb_in22k_ft_in1k_384,59.923,40.077,74.487,25.513,50.22,384,1.0,bicubic,-37.187,-25.153,-40
maxvit_large_tf_512.in1k,59.887,40.113,72.847,27.153,212.33,512,1.0,bicubic,-37.163,-26.813,-32
tiny_vit_21m_512.dist_in22k_ft_in1k,59.58,40.42,74.757,25.243,21.27,512,1.0,bicubic,-37.32,-24.933,-11
vit_base_patch32_clip_224.laion2b_ft_in1k,59.163,40.837,73.883,26.117,88.22,224,0.9,bicubic,-35.587,-25.187,436
maxvit_base_tf_384.in1k,59.073,40.927,71.687,28.313,119.65,384,1.0,bicubic,-38.047,-27.953,-46
vit_base_patch16_224.augreg2_in21k_ft_in1k,59.06,40.94,73.603,26.397,86.57,224,0.9,bicubic,-37.45,-25.957,56
tiny_vit_21m_384.dist_in22k_ft_in1k,59.017,40.983,74.1,25.9,21.23,384,1.0,bicubic,-37.933,-25.61,-22
convformer_s36.sail_in22k_ft_in1k,58.913,41.087,72.943,27.057,40.01,224,1.0,bicubic,-37.587,-26.517,54
convnext_small.in12k_ft_in1k_384,58.807,41.193,72.797,27.203,50.22,384,1.0,bicubic,-38.183,-26.853,-32
vit_large_r50_s32_224.augreg_in21k_ft_in1k,58.667,41.333,71.733,28.267,328.99,224,0.9,bicubic,-37.513,-27.777,117
vit_base_patch32_clip_384.openai_ft_in12k_in1k,58.587,41.413,73.15,26.85,88.30,384,0.95,bicubic,-37.833,-26.35,66
maxvit_large_tf_384.in1k,58.427,41.573,71.177,28.823,212.03,384,1.0,bicubic,-38.503,-28.393,-26
eva02_small_patch14_336.mim_in22k_ft_in1k,58.363,41.637,72.877,27.123,22.13,336,1.0,bicubic,-38.327,-26.733,15
deit3_large_patch16_384.fb_in1k,58.357,41.643,72.95,27.05,304.76,384,1.0,bicubic,-38.493,-26.67,-16
deit3_huge_patch14_224.fb_in1k,58.137,41.863,72.143,27.857,632.13,224,0.9,bicubic,-38.443,-27.377,27
tf_efficientnet_b8.ap_in1k,57.837,42.163,72.96,27.04,87.41,672,0.954,bicubic,-38.713,-26.6,34
convnext_small.fb_in22k_ft_in1k,57.743,42.257,72.773,27.227,50.22,288,1.0,bicubic,-39.067,-26.857,-12
mvitv2_large.fb_in1k,57.497,42.503,70.75,29.25,217.99,224,0.9,bicubic,-38.903,-28.79,62
cait_m48_448.fb_dist_in1k,57.477,42.523,71.857,28.143,356.46,448,1.0,bicubic,-39.403,-27.813,-28
cait_m36_384.fb_dist_in1k,57.473,42.527,72.307,27.693,271.22,384,1.0,bicubic,-39.367,-27.353,-23
tf_efficientnet_b3.ns_jft_in1k,57.417,42.583,72.37,27.63,12.23,300,0.904,bicubic,-38.683,-27.11,119
tiny_vit_21m_224.dist_in22k_ft_in1k,57.143,42.857,72.573,27.427,21.20,224,0.95,bicubic,-39.237,-26.847,58
maxvit_small_tf_512.in1k,57.077,42.923,70.957,29.043,69.13,512,1.0,bicubic,-40.123,-28.663,-81
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,57.07,42.93,71.267,28.733,88.22,224,0.9,bicubic,-38.16,-27.973,302
vit_base_patch16_224.augreg_in21k_ft_in1k,56.833,43.167,70.633,29.367,86.57,224,0.9,bicubic,-39.467,-28.897,75
deit3_medium_patch16_224.fb_in22k_ft_in1k,56.653,43.347,69.74,30.26,38.85,224,1.0,bicubic,-39.487,-29.55,104
deit3_large_patch16_224.fb_in1k,56.453,43.547,70.473,29.527,304.37,224,0.9,bicubic,-39.737,-29.027,95
flexivit_large.1200ep_in1k,56.29,43.71,71.56,28.44,304.36,240,0.95,bicubic,-40.49,-28.11,-21
flexivit_large.600ep_in1k,56.077,43.923,71.17,28.83,304.36,240,0.95,bicubic,-40.653,-28.39,-15
caformer_s18.sail_in22k_ft_in1k_384,56.01,43.99,71.38,28.62,26.34,384,1.0,bicubic,-40.52,-28.2,16
vit_base_patch32_clip_224.openai_ft_in1k,55.913,44.087,72.157,27.843,88.22,224,0.9,bicubic,-38.527,-26.953,468
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,55.783,44.217,70.997,29.003,39.03,384,0.95,bicubic,-40.707,-28.623,24
flexivit_large.300ep_in1k,55.703,44.297,70.703,29.297,304.36,240,0.95,bicubic,-40.997,-28.877,-15
convnext_small.in12k_ft_in1k,55.7,44.3,70.727,29.273,50.22,288,1.0,bicubic,-40.9,-28.833,-1
caformer_b36.sail_in1k_384,55.193,44.807,68.07,31.93,98.75,384,1.0,bicubic,-41.967,-31.54,-90
convformer_s18.sail_in22k_ft_in1k_384,55.123,44.877,70.127,29.873,26.77,384,1.0,bicubic,-41.667,-29.583,-36
caformer_m36.sail_in1k_384,55.083,44.917,68.47,31.53,56.20,384,1.0,bicubic,-41.947,-31.24,-76
maxvit_tiny_tf_512.in1k,54.747,45.253,68.937,31.063,31.05,512,1.0,bicubic,-42.223,-30.733,-69
dm_nfnet_f5.dm_in1k,54.61,45.39,68.673,31.327,377.21,544,0.954,bicubic,-42.42,-31.007,-79
caformer_s36.sail_in1k_384,54.573,45.427,68.74,31.26,39.30,384,1.0,bicubic,-42.307,-30.93,-60
deit3_small_patch16_384.fb_in22k_ft_in1k,54.48,45.52,68.317,31.683,22.21,384,1.0,bicubic,-42.19,-31.323,-20
efficientnet_b5.sw_in12k_ft_in1k,54.413,45.587,69.873,30.127,30.39,448,1.0,bicubic,-42.357,-29.657,-38
vit_base_r50_s16_384.orig_in21k_ft_in1k,54.407,45.593,69.563,30.437,98.95,384,1.0,bicubic,-42.043,-30.047,17
inception_next_base.sail_in1k_384,54.36,45.64,68.57,31.43,86.67,384,1.0,bicubic,-42.36,-31.04,-33
maxvit_small_tf_384.in1k,54.337,45.663,68.19,31.81,69.02,384,1.0,bicubic,-42.413,-31.35,-38
vit_small_r26_s32_384.augreg_in21k_ft_in1k,54.187,45.813,68.76,31.24,36.47,384,1.0,bicubic,-41.873,-30.74,92
caformer_s18.sail_in22k_ft_in1k,54.113,45.887,69.713,30.287,26.34,224,1.0,bicubic,-41.897,-29.837,102
caformer_b36.sail_in1k,53.977,46.023,66.687,33.313,98.75,224,1.0,bicubic,-42.523,-32.943,0
tf_efficientnet_b5.ap_in1k,53.887,46.113,69.17,30.83,30.39,456,0.934,bicubic,-42.203,-30.37,80
dm_nfnet_f6.dm_in1k,53.843,46.157,68.413,31.587,438.36,576,0.956,bicubic,-43.127,-31.347,-87
tf_efficientnet_b2.ns_jft_in1k,53.6,46.4,70.27,29.73,9.11,260,0.89,bicubic,-41.92,-29.07,204
cait_s36_384.fb_dist_in1k,53.56,46.44,68.003,31.997,68.37,384,1.0,bicubic,-43.07,-31.607,-35
tf_efficientnet_b6.ap_in1k,53.553,46.447,68.563,31.437,43.04,528,0.942,bicubic,-42.817,-30.987,16
vit_medium_patch16_gap_256.sw_in12k_ft_in1k,53.537,46.463,69.093,30.907,38.86,256,0.95,bicubic,-42.463,-30.327,95
dm_nfnet_f3.dm_in1k,53.523,46.477,67.743,32.257,254.92,416,0.94,bicubic,-43.097,-31.837,-36
deit3_base_patch16_384.fb_in1k,53.483,46.517,67.623,32.377,86.88,384,1.0,bicubic,-42.747,-31.817,47
deit3_base_patch16_224.fb_in1k,53.47,46.53,67.597,32.403,86.59,224,0.9,bicubic,-42.3,-31.673,145
convformer_s18.sail_in22k_ft_in1k,53.437,46.563,68.68,31.32,26.77,224,1.0,bicubic,-42.663,-30.81,67
tf_efficientnet_b8.ra_in1k,53.417,46.583,69.093,30.907,87.41,672,0.954,bicubic,-43.283,-30.557,-49
vit_base_patch32_384.augreg_in21k_ft_in1k,53.3,46.7,68.057,31.943,88.30,384,1.0,bicubic,-42.6,-31.283,110
tf_efficientnet_b7.ap_in1k,53.257,46.743,68.87,31.13,66.35,600,0.949,bicubic,-43.093,-30.65,9
convnext_large.fb_in1k,53.247,46.753,67.887,32.113,197.77,288,1.0,bicubic,-43.153,-31.563,1
maxvit_base_tf_224.in1k,53.233,46.767,66.133,33.867,119.47,224,0.95,bicubic,-43.107,-33.447,11
tf_efficientnetv2_l.in1k,53.16,46.84,67.827,32.173,118.52,480,1.0,bicubic,-43.58,-31.723,-65
tf_efficientnetv2_s.in21k_ft_in1k,53.127,46.873,69.0,31.0,21.46,384,1.0,bicubic,-43.343,-30.57,-18
tf_efficientnet_b4.ap_in1k,53.087,46.913,68.223,31.777,19.34,380,0.922,bicubic,-42.403,-31.197,188
convnext_tiny.in12k_ft_in1k_384,53.063,46.937,68.503,31.497,28.59,384,1.0,bicubic,-43.497,-31.127,-40
regnetz_e8.ra3_in1k,53.003,46.997,67.147,32.853,57.70,320,1.0,bicubic,-43.597,-32.433,-50
maxvit_large_tf_224.in1k,53.003,46.997,65.337,34.663,211.79,224,0.95,bicubic,-43.327,-34.073,7
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,52.873,47.127,66.46,33.54,41.72,224,0.95,bicubic,-43.257,-32.88,46
deit3_small_patch16_224.fb_in22k_ft_in1k,52.69,47.31,66.867,33.133,22.06,224,1.0,bicubic,-43.14,-32.473,110
dm_nfnet_f4.dm_in1k,52.46,47.54,67.117,32.883,316.07,512,0.951,bicubic,-44.49,-32.523,-112
maxvit_tiny_tf_384.in1k,52.457,47.543,66.777,33.223,30.98,384,1.0,bicubic,-44.143,-32.843,-54
tf_efficientnet_b7.ra_in1k,52.41,47.59,68.22,31.78,66.35,600,0.949,bicubic,-44.16,-31.25,-52
efficientnetv2_rw_m.agc_in1k,52.343,47.657,67.223,32.777,53.24,416,1.0,bicubic,-43.927,-32.407,10
convformer_b36.sail_in1k_384,52.3,47.7,66.543,33.457,99.88,384,1.0,bicubic,-44.57,-33.107,-106
convformer_m36.sail_in1k_384,52.283,47.717,66.15,33.85,57.05,384,1.0,bicubic,-44.497,-33.58,-90
inception_next_base.sail_in1k,52.273,47.727,65.93,34.07,86.67,224,0.95,bicubic,-43.647,-33.43,84
deit_base_distilled_patch16_384.fb_in1k,52.26,47.74,67.747,32.253,87.63,384,1.0,bicubic,-44.25,-31.843,-45
convnext_tiny.fb_in22k_ft_in1k_384,52.18,47.82,66.923,33.077,28.59,384,1.0,bicubic,-43.99,-32.577,23
convformer_s36.sail_in1k_384,51.987,48.013,66.197,33.803,40.01,384,1.0,bicubic,-44.713,-33.333,-81
fastvit_ma36.apple_dist_in1k,51.923,48.077,67.013,32.987,44.07,256,0.95,bicubic,-44.377,-32.547,-3
cait_s24_384.fb_dist_in1k,51.787,48.213,66.307,33.693,47.06,384,1.0,bicubic,-44.783,-33.243,-70
caformer_m36.sail_in1k,51.693,48.307,64.497,35.503,56.20,224,1.0,bicubic,-44.717,-35.063,-36
caformer_s36.sail_in1k,51.593,48.407,64.907,35.093,39.30,224,1.0,bicubic,-44.487,-34.603,27
mvitv2_base.fb_in1k,51.55,48.45,65.633,34.367,51.47,224,0.9,bicubic,-44.43,-33.957,50
vit_base_patch16_224_miil.in21k_ft_in1k,51.543,48.457,65.207,34.793,86.54,224,0.875,bilinear,-44.497,-34.143,38
davit_small.msft_in1k,51.523,48.477,66.44,33.56,49.75,224,0.95,bicubic,-44.507,-32.96,38
convnext_tiny.in12k_ft_in1k,51.44,48.56,67.063,32.937,28.59,288,1.0,bicubic,-44.8,-32.227,-9
maxvit_rmlp_small_rw_224.sw_in1k,51.43,48.57,65.19,34.81,64.90,224,0.9,bicubic,-44.53,-34.24,54
tf_efficientnetv2_m.in1k,51.423,48.577,66.623,33.377,54.14,480,1.0,bicubic,-45.057,-32.897,-62
repvit_m2_3.dist_450e_in1k,51.383,48.617,66.737,33.263,23.69,224,0.95,bicubic,-44.607,-32.663,42
caformer_s18.sail_in1k_384,51.353,48.647,65.657,34.343,26.34,384,1.0,bicubic,-45.057,-33.873,-50
edgenext_base.in21k_ft_in1k,51.283,48.717,65.657,34.343,18.51,320,1.0,bicubic,-44.917,-33.803,-6
davit_base.msft_in1k,51.267,48.733,65.223,34.777,87.95,224,0.95,bicubic,-44.973,-34.417,-14
convformer_b36.sail_in1k,51.203,48.797,64.28,35.72,99.88,224,1.0,bicubic,-45.037,-35.13,-14
maxvit_small_tf_224.in1k,51.19,48.81,65.26,34.74,68.93,224,0.95,bicubic,-45.01,-34.27,-8
convnext_base.fb_in1k,51.057,48.943,65.88,34.12,88.59,288,1.0,bicubic,-45.253,-33.63,-33
convformer_m36.sail_in1k,51.02,48.98,63.653,36.347,57.05,224,1.0,bicubic,-45.06,-35.737,13
tf_efficientnet_b1.ns_jft_in1k,50.887,49.113,67.91,32.09,7.79,240,0.882,bicubic,-43.973,-31.34,281
vit_base_patch16_384.orig_in21k_ft_in1k,50.88,49.12,65.277,34.723,86.86,384,1.0,bicubic,-45.32,-34.193,-16
convformer_s36.sail_in1k,50.863,49.137,64.083,35.917,40.01,224,1.0,bicubic,-45.247,-35.377,1
tiny_vit_11m_224.dist_in22k_ft_in1k,50.83,49.17,66.87,33.13,11.00,224,0.95,bicubic,-44.88,-32.39,95
repvit_m2_3.dist_300e_in1k,50.737,49.263,66.743,33.257,23.69,224,0.95,bicubic,-44.853,-32.647,113
convformer_s18.sail_in1k_384,50.687,49.313,65.637,34.363,26.77,384,1.0,bicubic,-45.563,-33.943,-31
flexivit_base.1200ep_in1k,50.687,49.313,65.133,34.867,86.59,240,0.95,bicubic,-45.433,-34.277,-7
coatnet_rmlp_2_rw_224.sw_in1k,50.603,49.397,63.363,36.637,73.88,224,0.95,bicubic,-45.607,-36.117,-24
efficientnet_b4.ra2_in1k,50.5,49.5,65.73,34.27,19.34,384,1.0,bicubic,-45.03,-33.67,122
